original,correction
ඇතිවුණා,ඇති වුණා
ඉටුවුණා,ඉටු වුණා
ඉදිවුණා,ඉදි වුණා
උදාවුණා,උදා වුණා
එක්වුණා,එක් වුණා
කැපවුණා,කැප වුණා
ගැලවුණා,ගැලවුණා
ජීවත්වුණා,ජීවත් වුණා
නැතිවුණා,නැති වුණා
නොවුණා,නොවුණා
පත්වුණා,පත් වුණා
පැවැත්වුණා,පැවැත්වුණා
පැවිදිවුණා,පැවිදි වුණා
පැළවුණා,පැළ වුණා
බැරිවුණා,බැරි වුණා
බිහිවුණා,බිහි වුණා
මතුවුණා,මතු වුණා
රැස්වුණා,රැස් වුණා
ලක්වුණා,ලක් වුණා
වාඩිවුණා,වාඩි වුණා
විසිවුණා,විසි වුණා
වුණා,වුණා
සැළවුණා,සැල වුණා
සිද්ධවුණා,සිද්ධ වුණා
සිදුවුණා,සිදු වුණා
හමුවුණා,හමු වුණා
හසුවුණා,හසු වුණා
හැකිවුණා,හැකි වුණා
හිනාවුණා,හිනා වුණා
