original,correction
මී,මී
මීකිරිවලට,මී කිරිවලට
මීගමු,මීගමු
මීගමුව,මීගමුව
මීගමුවේ,මීගමුවේ
මීගස්තැන්නේ,මීගස්තැන්නේ
මීගස්මුල්ල,මීගස්මුල්ල
මීගහකිවුල,මීගහකිවුල
මීගොඩ,මීගොඩ
මීට,මීට
මීටත්,මීටත්
මීටර,මීටර
මීටරක්,මීටරක්
මීටරය,මීටරය
මීටරයක්,මීටරයක්
මීටර්,මීටර්
මීටර්ක්,මීටර්ක්
මීටර්පිරිමි,මීටර් පිරිමි
මීටරේ,මීටරේ
මීටින්,මීටින්
මීඩියම්,මීඩියම්
මීඩියා,මීඩියා
මීතේන්,මීතේන්
මීදුම,මී දුම
මීදුම්,මී දුම්
මීදුමෙන්,මීදුමෙන්
මීන,මීන
මීනක්ෂිට,මීනක්ෂිට
මීනාට,මීනාට
මීමා,මීමා
මීමැස්සන්,මීමැස්සන්
මීමුරේ,මීමුරේ
මීයකු,මීයකු
මීයනට,මීයනට
මීයන්,මීයන්
මීයෝ,මීයෝ
මීරිගම,මීරිගම
මීලග,මීලග
මීලඟ,මීලඟ
මීලඟට,මීලඟට
මීවන,මීවන
මීෂ්කා,මීෂ්කා
මීහරක,මී හරක
මීහරකා,මී හරකා
මීහරකෙක්,මී හරකෙක්
මීහරකො,මී හරකො
මීළඟ,මීළඟ
මීළඟට,මීළඟට
