original,correction
ඇතිවුනා,ඇති වුණා
උදාවුනා,උදා වුණා
එපාවුනා,එපා වුණා
කතාවුනා,කතා වුණා
කියවුනා,කියවුණා
කියැවුනා,කියැවුණා
ගෙවුනා,ගෙවුණා
දෙල්වුනා,දෙල් වුණා
නැටවුනා,නැටවුණා
නැතිවුනා,නැති වුණා
නිදහස්වුනා,නිදහස් වුණා
නොවුනා,නොවුණා
පත්වුනා,පත් වුණා
පහළවුනා,පහළ වුණා
පිටවුනා,පිට වුණා
බයවුනා,බය වුණා
බැරිවුනා,බැරි වුණා
බිහිවුනා,බිහි වුණා
මතක්වුනා,මතක් වුණා
මතුවුනා,මතු වුණා
මහමෙවුනා,මහමෙවුනා
යොමුවුනා,යොමු වුණා
රජවුනා,රජ වුණා
ලක්වුනා,ලක් වුණා
ලියවුනා,ලියවුණා
විරුද්ධවුනා,විරුද්ධ වුණා
වුනා,වුණා
සිදුවුනා,සිදු වුණා
හම්බවුනා,හම්බ වුණා
හැඳින්වුනා,හැඳින්වුණා
