original,correction
අජීවී,අජීවී
අඩුවී,අඩු වී
අත්වී,අත් වී
අතුගෑවී,අතුගෑවී
අතුරුදහන්වී,අතුරුදහන් වී
අනාවරණයවී,අනාවරණය වී
අපවත්වී,අපවත් වී
අපූර්වී,අපූර්වී
අමතකවී,අමතක වී
අවදිවී,අවදි වී
අවලංගුවී,අවලංගු වී
අවසන්වී,අවසන් වී
අසාර්ථකවී,අසාර්ථක වී
අසුවී,අසු වී
අහිමිවී,අහිමි වී
ආරම්භවී,ආරම්භ වී
ඇතිවී,ඇති වී
ඇදවී,ඇද වී
ඇලැවී,ඇලැවී
ඈත්වී,ඈත් වී
ඉගැන්වී,ඉගැන්වී
ඉටුවී,ඉටු වී
ඉතිරිවී,ඉතිරි වී
ඉදිරිපත්වී,ඉදිරිපත් වී
ඉදිවී,ඉදි වී
ඉවත්වී,ඉවත් වී
උද්ගතවී,උද්ගත වී
උදාවී,උදා වී
උභයජීවී,උභයජීවී
එකතුවී,එකතු වී
එක්තැනවී,එක්තැන වී
එක්වී,එක් වී
එඩිතරවී,එඩිතර වී
එල්ලවී,එල්ල වී
එවී,එවී
කක්ෂගතවී,කක්ෂගත වී
කැපවී,කැප වී
කියවී,කියවී
කියාවී,කියාවී
කුණුවී,කුණු වී
ගතවී,ගත වී
ගනීවී,ගනීවී
ගැබ්වී,ගැබ් වී
ගැලවී,ගැලවී
ගැලැවී,ගැලැවී
ගෑවී,ගෑවී
ගෙවී,ගෙවී
ගොඩවී,ගොඩ වී
ගොනුවී,ගොනු වී
ජනිතවී,ජනිත වී
ජීවත්වී,ජීවත් වී
ජීවී,ජීවී
ටිවී,ටීවී
ටීවී,ටීවී
ණයවී,ණය වී
තල්ලූවී,තල්ලු වී
තහවුරුවී,තහවුරු වී
තුවාලවී,තුවාල වී
තේරේවී,තේරේවී
දායකවී,දායක වී
දැල්වී,දැල්වී
දැවී,දැවී
දිගාවී,දිගා වී
දියුණුවී,දියුණු වී
දුරුවී,දුරු වී
දේවී,දේවී
නතරවී,නතර වී
නවී,නවී
නැතිවී,නැති වී
නැවී,නැවී
නිමාවී,නිමා වී
නිමැවී,නිමැවී
නිර්මාණයවී,නිර්මාණය වී
නිවී,නිවී
නෙවී,නෙවී
පටලැවී,පටලැවී
පත්වී,පත් වී
පදනම්වී,පදනම් වී
පමාවී,පමා වී
පරවී,පර වී
පලවී,පල වී
පල්වෙවී,පල් වෙවී
පසුවී,පසු වී
පහවී,පහ වී
පහළවී,පහළ වී
පළවී,පළ වී
පාවී,පාවී
පැවැත්වී,පැවැත්වී
පිටවී,පිට වී
පිරිනිවී,පිරිනිවී
පිරිසිඳුවී,පිරිසිදු වී
පුරුදුවී,පුරුදු වී
පේවී,පේවී
බිහිවී,බිහි වී
බෙරිවී,බෙරි වී
බෝවී,බෝ වී
මංමුලාවී,මංමුලා වී
මතුවී,මතු වී
මාරුවී,මාරු වී
මැදිවී,මැදි වී
මැදිහත්වී,මැදිහත් වී
මැලවී,මැලවී
මැළවී,මැලවී
මුල්වී,මුල් වී
මුලාවී,මුලා වී
මුවාවී,මුවා වී
මුසුවී,මුසු වී
මුළාවී,මුලා වී
යටවී,යට වී
යාවී,යා වී
යොමුවී,යොමු වී
රවී,රවී
රහත්වී,රහත් වී
රැස්වී,රැස් වී
ලක්වී,ලක් වී
ලිච්ඡවී,ලිච්ඡවී
ලියවී,ලියවී
ලියැවී,ලියැවී
වටීවී,වටීවී
වනජීවී,වනජීවී
වඳවී,වඳ වී
වාඩිවී,වාඩි වී
වැඩිවී,වැඩි වී
වැවී,වැවී
විනාශවී,විනාශ වී
වියෝවී,වියෝ වී
විවාහවී,විවාහ වී
විසිවී,විසි වී
වී,වී
වෙන්වී,වෙන් වී
වෙවී,වෙවී
වේවී,වේවි
සකස්වී,සකස් වී
සජීවී,සජීවී
සමත්වී,සමත් වී
සම්පූර්ණවී,සම්පූර්ණ වී
සරුවී,සරු වී
සහභාගිවී,සහභාගී වී
සැගවී,සැඟවී
සැඟවී,සැඟවී
සැඟැවී,සැඟවී
සිදුවී,සිදු වී
සිරවී,සිර වී
සෙලවී,සෙලවී
හමුවී,හමු වී
හසුවී,හසු වී
හැකිවේවී,හැකි වේවි
හිනානොවී,හිනා නොවී
හිමිවී,හිමි වී
හිරවී,හිර වී
හුරුවී,හුරු වී
හෙළිවී,හෙළි වී
හේතුවී,හේතු වී
ළංවී,ළං වී
ළඟාවී,ළඟා වී
