original,correction
අඟවන්නලු,අඟවන්න ලු
අඩුවෙලාලු,අඩුවෙලා ලු
අයලු,අය ලු
අයෙක්ලු,අයෙක් ලු
අලු,අලු
අහනවලු,අහනව ලු
ආවලු,ආවලු
ආවාලු,ආවා ලු
ආවේලු,ආවේ ලු
ඇතුලු,ඇතුලු
ඇන්නලු,ඇන්න ලු
ඇහැව්වලු,ඇහැව්ව ලු
ඇහුවලු,ඇහුව ලු
ඉන්නලු,ඉන්න ලු
ඉන්නවලු,ඉන්නව ලු
ඉල්ලු,ඉල්ලූ
ඉසිලු,ඉසිලු
උදලු,උදලු
උනහපුලු,උනහපුලු
උනාලු,උනාලු
එකක්ලු,එකක් ලු
එකලු,එක ලු
එකෙක්ලු,එකෙක් ලු
එනවලු,එනව ලු
එපාලු,එපා ලු
එලවලු,එළවළු
එලුඅත්තනගලු,එලු අත්තනගලු
එහෙමලු,එහෙම ලු
එළවලු,එළවළු
ඔලු,ඔලු
ඔහොමලු,ඔහොම ලු
ඕනලු,ඕන ලු
ඕනෙලු,ඕනෙ ලු
ඕලු,ඕලු
කඩතොලු,කඩතොලු
කඩුලු,කඩුලු
කදාවළලු,කඳා වළලු
කදුලු,කඳුලු
කඳුලු,කඳුලු
කරගත්තලු,කරගත්ත ලු
කරනවලු,කරනව ලු
කරන්නලු,කරන්න ලු
කරාලු,කරා ලු
කලාලු,කලා ලු
කලු,කලු
කහනවලු,කහනව ලු
කළාලු,කළා ලු
කැකුලු,කැකුලු
කැඩිලලු,කැඩිල ලු
කැනහිල්ලු,කැනහිල්ලු
කැමැතියිලු,කැමැතියි ලු
කියනවලු,කියනව ලු
කියලලු,කියල ලු
කියාගෙනලු,කියාගෙන ලු
කිව්වලු,කිව්ව ලු
කිවුවලු,කිවුව ලු
කීවලු,කීව ලු
කුකුල්ලු,කුකුල්ලු
කුකුලු,කුකුලු
කුරුලු,කුරුලු
කෙනාලු,කෙනාලු
කොල්ලු,කොල්ලු
කොලු,කොලු
ගත්තලු,ගත්ත ලු
ගන්නවලු,ගන්නව ලු
ගමන්මලු,ගමන් මලු
ගහනවාලු,ගහනවා ලු
ගාලු,ගාලු
ගැටලු,ගැටලු
ගියාමලු,ගියාම ලු
ගියාලු,ගියා ලු
ගෙවනවාලු,ගෙවනවා ලු
ගොලු,ගොලු
තල්ලු,තල්ලු
තලු,තලු
තැනුවේලු,තැනුවේලු
