original,first,second,correction
අංගය ද,අංගය,ද,අංගය ද
අංගයන්ගෙන් ද,අංගයන්ගෙන්,ද,අංගයන්ගෙන් ද
අංශයෙන් ද,අංශයෙන්,ද,අංශයෙන් ද
අකුරින් ද,අකුරින්,ද,අකුරින් ද
අකුසල් ද,අකුසල්,ද,අකුසල් ද
අගමැතිතුමන් ද,අගමැතිතුමන්,ද,අගමැතිතුමන් ද
අගය ද,අගය,ද,අගය ද
අගී ද,අගී,ද,අගී ද
අටට ද,අටට,ද,අටට ද
අතට ද,අතට,ද,අතට ද
අතර ද,අතර,ද,අතර ද
අත්දැකීමක් ද,අත්දැකීමක්,ද,අත්දැකීමක් ද
අතින් ද,අතින්,ද,අතින් ද
අතීතයේදී ද,අතීතයේදී,ද,අතීතයේ දී ද
අතුරින් ද,අතුරින්,ද,අතුරින් ද
අද ද,අද,ද,අද ද
අදට ද,අදට,ද,අදට ද
අදහස ද,අදහස,ද,අදහස ද
අදාළව ද,අදාළව,ද,අදාළ ව ද
අධ්‍යයනය ද,අධ්‍යයනය,ද,අධ්‍යයනය ද
අධ්‍යයනයන් ද,අධ්‍යයනයන්,ද,අධ්‍යයනයන් ද
අධ්‍යාපනයේ ද,අධ්‍යාපනයේ,ද,අධ්‍යාපනයේ ද
අනතුරුව ද,අනතුරුව,ද,අනතුරුව ද
අනතුරුවවර්ෂයේදී ද,අනතුරුවවර්ෂයේදී,ද,අනතුරු ව වර්ෂයේ දී ද
අනන්ත ද,අනන්ත,ද,අනන්ත ද
අන්කල් ද,අන්කල්,ද,අන්කල් ද
අනිවාර්ය ද,අනිවාර්ය,ද,අනිවාර්ය ද
අනුන්ට ද,අනුන්ට,ද,අනුන්ට ද
අනුපස්සනාව ද,අනුපස්සනාව,ද,අනුපස්සනාව ද
අනුපිළිවෙලක් ද,අනුපිළිවෙලක්,ද,අනුපිළිවෙළක් ද
අප ද,අප,ද,අප ද
අපට ද,අපට,ද,අපට ද
අපරාධකරුවන් ද,අපරාධකරුවන්,ද,අපරාධකරුවන් ද
අපරාධයන්ට ද,අපරාධයන්ට,ද,අපරාධයන්ට ද
අපරිමිත ද,අපරිමිත,ද,අපරිමිත ද
අපහසුතාවන් ද,අපහසුතාවන්,ද,අපහසුතාවන් ද
අප්‍රසාදය ද,අප්‍රසාදය,ද,අප්‍රසාදය ද
අපායට ද,අපායට,ද,අපායට ද
අපි ද,අපි,ද,අපි ද
අපොන්සුවා ද,අපොන්සුවා,ද,අපොන්සුවා ද
අභාග්‍යයක් ද,අභාග්‍යයක්,ද,අභාග්‍යයක් ද
අභිවෘද්ධිය ද,අභිවෘද්ධිය,ද,අභිවෘද්ධිය ද
අමතරව ද,අමතරව,ද,අමතර ව ද
අමනුෂ්‍යයන්ගේ ද,අමනුෂ්‍යයන්ගේ,ද,අමනුෂ්‍යයන්ගේ ද
අමරදේව ද,අමරදේව,ද,අමරදේව ද
අමිල ද,අමිල,ද,අමිල ද
අමෝරන්නේ ද,අමෝරන්නේ,ද,අමෝරන්නේ ද
අය ද,අය,ද,අය ද
අයත් ද,අයත්,ද,අයත් ද
අරමුණු ද,අරමුණු,ද,අරමුණු ද
අර්ථකථන ද,අර්ථකථන,ද,අර්ථකථන ද
අරුතක් ද,අරුතක්,ද,අරුතක් ද
අරුමයක් ද,අරුමයක්,ද,අරුමයක් ද
අවශ්‍ය ද,අවශ්‍ය,ද,අවශ්‍ය ද
අවස්ථා ද,අවස්ථා,ද,අවස්ථා ද
අවස්ථාව ද,අවස්ථාව,ද,අවස්ථාව ද
අවස්ථාවන්හිදී ද,අවස්ථාවන්හිදී,ද,අවස්ථාවන්හි දී ද
අවස්ථාවලදී ද,අවස්ථාවලදී,ද,අවස්ථාවල දී ද
අවස්ථාවේදී ද,අවස්ථාවේදී,ද,අවස්ථාවේ දී ද
අවසානයේදී ද,අවසානයේදී,ද,අවසානයේ දී ද
අශෝක ද,අශෝක,ද,අශෝක ද
අසන්නා ද,අසන්නා,ද,අසන්නා ද
අස්න ද,අස්න,ද,අස්න ද
අස්වැසිල්ලක් ද,අස්වැසිල්ලක්,ද,අස්වැසිල්ලක් ද
අසුනක් ද,අසුනක්,ද,අසුනක් ද
අසූවක් ද,අසූවක්,ද,අසූවක් ද
ආකාර ද,ආකාර,ද,ආකාර ද
ආගම් ද,ආගම්,ද,ආගම් ද
ආණ්ඩුව ද,ආණ්ඩුව,ද,ආණ්ඩුව ද
ආදරෙයි ද,ආදරෙයි,ද,ආදරෙයි ද
ආදායමක් ද,ආදායමක්,ද,ආදායමක් ද
ආදිය ද,ආදිය,ද,ආදිය ද
ආදියට ද,ආදියට,ද,ආදියට ද
ආදීනව ද,ආදීනව,ද,ආදීනව ද
ආදීනවය ද,ආදීනවය,ද,ආදීනවය ද
ආදීහු ද,ආදීහු,ද,ආදීහු ද
ආයතනයක ද,ආයතනයක,ද,ආයතනයක ද
ආයුධ ද,ආයුධ,ද,ආයුධ ද
ආරාධනයක් ද,ආරාධනයක්,ද,ආරාධනයක් ද
ආරාධනාවක් ද,ආරාධනාවක්,ද,ආරාධනාවක් ද
ආරාම ද,ආරාම,ද,ආරාම ද
ආලෝකයන් ද,ආලෝකයන්,ද,ආලෝකයන් ද
ආශ්චර්යයක් ද,ආශ්චර්යයක්,ද,ආශ්චර්යයක් ද
ආශ්‍රිතව ද,ආශ්‍රිතව,ද,ආශ්‍රිත ව ද
ඇත් ද,ඇත්,ද,ඇත්ද
ඇත්ත ද,ඇත්ත,ද,ඇත්ත ද
ඇත්තී ද,ඇත්තී,ද,ඇත්තී ද
ඇත්තු ද,ඇත්තු,ද,ඇත්තු ද
ඇත්තේ ද,ඇත්තේ,ද,ඇත්තේ ද
ඇත්තෝ ද,ඇත්තෝ,ද,ඇත්තෝ ද
ඇතැයි ද,ඇතැයි,ද,ඇතැයි ද
ඇති ද,ඇති,ද,ඇති ද
ඇතිවන්නේ ද,ඇතිවන්නේ,ද,ඇති වන්නේ ද
ඇතිවීම ද,ඇතිවීම,ද,ඇති වීම ද
ඇතිවීමට ද,ඇතිවීමට,ද,ඇති වීමට ද
ඇතිවේවි ද,ඇතිවේවි,ද,ඇති වේවි ද
ඇතුළින් ද,ඇතුළින්,ද,ඇතුළින් ද
ඇනා ද,ඇනා,ද,ඇනා ද
ඇඳුම් ද,ඇඳුම්,ද,ඇඳුම් ද
ඇයි ද,ඇයි,ද,ඇයි ද
ඈ ද,ඈ,ද,ඈ ද
ඉගැන්වීමෙහි ද,ඉගැන්වීමෙහි,ද,ඉගැන්වීමෙහි ද
ඉගෙනීමට ද,ඉගෙනීමට,ද,ඉගෙනීමට ද
ඉටුදෙවියෙක් ද,ඉටුදෙවියෙක්,ද,ඉටුදෙවියෙක් ද
ඉතිහාසය ද,ඉතිහාසය,ද,ඉතිහාසය ද
ඉදිරියේදී ද,ඉදිරියේදී,ද,ඉදිරියේ දී ද
ඉන්දියාවෙන් ද,ඉන්දියාවෙන්,ද,ඉන්දියාවෙන් ද
ඉන්නවා ද,ඉන්නවා,ද,ඉන්නවා ද
ඉඳිකිරීම් ද,ඉඳිකිරීම්,ද,ඉදිකිරීම් ද
ඉපදීම ද,ඉපදීම,ද,ඉපදීම ද
ඉපදුන ද,ඉපදුන,ද,ඉපදුණද
ඉරියව් ද,ඉරියව්,ද,ඉරියව් ද
ඉසීම ද,ඉසීම,ද,ඉසීම ද
ඊබට් ද,ඊබට්,ද,ඊබට් ද
ඊලියන් ද,ඊලියන්,ද,ඊලියන් ද
උච්චාරණයට ද,උච්චාරණයට,ද,උච්චාරණයට ද
උණුසුම ද,උණුසුම,ද,උණුසුම ද
උත්සවශ්‍රීයෙන් ද,උත්සවශ්‍රීයෙන්,ද,උත්සවශ්‍රීයෙන් ද
උද්‍යානය ද,උද්‍යානය,ද,උද්‍යානය ද
උද්‍රතයන් ද,උද්‍රතයන්,ද,උද්‍රතයන් ද
උදෙසා ද,උදෙසා,ද,උදෙසා ද
උන්වහන්සේ ද,උන්වහන්සේ,ද,උන්වහන්සේ ද
උපක්‍රමයෙන් ද,උපක්‍රමයෙන්,ද,උපක්‍රමයෙන් ද
උපත ද,උපත,ද,උපත ද
උපන්නේ ද,උපන්නේ,ද,උපන්නේ ද
උපමාවක් ද,උපමාවක්,ද,උපමාවක් ද
උපේන්ද්‍රා ද,උපේන්ද්‍රා,ද,උපේන්ද්‍රා ද
උයනක් ද,උයනක්,ද,උයනක් ද
එකක් ද,එකක්,ද,එකක් ද
එකඟ ද,එකඟ,ද,එකඟ ද
එකල්හි ද,එකල්හි,ද,එකල්හි ද
එතුමන් ද,එතුමන්,ද,එතුමන් ද
එනිසා ද,එනිසා,ද,එනිසා ද
එපමණක් ද,එපමණක්,ද,එපමණක් ද
එමගින් ද,එමගින්,ද,එමඟින් ද
එය ද,එය,ද,එය ද
එයින් ද,එයින්,ද,එයින් ද
එවිට ද,එවිට,ද,එවිට ද
එහිදී ද,එහිදී,ද,එහි දී ද
ඒක ද,ඒක,ද,ඒක ද
ඒමට ද,ඒමට,ද,ඒමට ද
ඒවාා ද,ඒවාා,ද,ඒවා ද
ඒවාාට ද,ඒවාාට,ද,ඒවාට ද
ඒවාායේ ද,ඒවාායේ,ද,ඒවායේ ද
ඒවාිතරක් ද,ඒවාිතරක්,ද,ඒ විතරක් ද
ඔතන්න ද,ඔතන්න,ද,ඔතන්න ද
ඔබ ද,ඔබ,ද,ඔබ ද
ඔබට ද,ඔබට,ද,ඔබට ද
