original,first,second,correction
අකුරු වල,අකුරු,වල,අකුරුවල
අගෝස්තු වල,අගෝස්තු,වල,අගෝස්තුවල
අඟහරු වල,අඟහරු,වල,අඟහරුවල
අඩවි වල,අඩවි,වල,අඩවිවල
අත්දැකීම් වල,අත්දැකීම්,වල,අත්දැකීම්වල
අදහස් වල,අදහස්,වල,අදහස්වල
අමාරු වල,අමාරු,වල,අමාරුවල
අර්ථකතන වල,අර්ථකතන,වල,අර්ථකතනවල
අවස්ථා වල,අවස්ථා,වල,අවස්ථාවල
ආගම් වල,ආගම්,වල,ආගම්වල
ආතල් වල,ආතල්,වල,ආතල්වල
ආත්ම වල,ආත්ම,වල,ආත්මවල
ආදාහනාගාර වල,ආදාහනාගාර,වල,ආදාහනාගාරවල
ආයතන වල,ආයතන,වල,ආයතනවල
ආසාවල් වල,ආසාවල්,වල,ආසාවල්වල
ඇදහීම් වල,ඇදහීම්,වල,ඇදහීම්වල
ඇස් වල,ඇස්,වල,ඇස්වල
ඉනිමං වල,ඉනිමං,වල,ඉනිමංවල
ඉඳිකිරීම් වල,ඉඳිකිරීම්,වල,ඉඳිකිරීම්වල
උපසිරස වල,උපසිරස,වල,උපසිරසවල
උපසිරැස වල,උපසිරැස,වල,උපසිරැසවල
උපසිරැසි වල,උපසිරැසි,වල,උපසිරැසිවල
උපාංග වල,උපාංග,වල,උපාංගවල
ඒ වල,ඒ,වල,ඒවල
ඔලු වල,ඔලු,වල,ඔලුවල
ඔෆිස් වල,ඔෆිස්,වල,ඔෆිස්වල
ඖෂධ වල,ඖෂධ,වල,ඖෂධවල
කටයුතු වල,කටයුතු,වල,කටයුතුවල
කණ්ඩායම් වල,කණ්ඩායම්,වල,කණ්ඩායම්වල
කණු වල,කණු,වල,කණුවල
කතන්දර වල,කතන්දර,වල,කතන්දරවල
කතා වල,කතා,වල,කතාවල
කථා වල,කථා,වල,කථාවල
කන්ඩායම් වල,කන්ඩායම්,වල,කන්ඩායම්වල
කඳවුරු වල,කඳවුරු,වල,කඳවුරුවල
කම්බි වල,කම්බි,වල,කම්බිවල
කමෙන්ට් වල,කමෙන්ට්,වල,කමෙන්ට්වල
කර්මයන් වල,කර්මයන්,වල,කර්මයන්වල
කරුණු වල,කරුණු,වල,කරුණුවල
කලාප වල,කලාප,වල,කලාපවල
කවි වල,කවි,වල,කවිවල
කාඩ් වල,කාඩ්,වල,කාඩ්වල
කාර් වල,කාර්,වල,කාර්වල
කැබැලි වල,කැබැලි,වල,කැබැලිවල
කැම්පස් වල,කැම්පස්,වල,කැම්පස්වල
කෑලි වල,කෑලි,වල,කෑලිවල
කිරීම් වල,කිරීම්,වල,කිරීම්වල
කුලක වල,කුලක,වල,කුලකවල
කොටස් වල,කොටස්,වල,කොටස්වල
කොට්ටාස වල,කොට්ටාස,වල,කොට්ටාසවල
කොමෙන්ට්ස් වල,කොමෙන්ට්ස්,වල,කොමෙන්ට්ස්වල
කොමෙන්ටු වල,කොමෙන්ටු,වල,කොමෙන්ටුවල
කොල වල,කොල,වල,කොලවල
ගණන් වල,ගණන්,වල,ගණන්වල
ගම් වල,ගම්,වල,ගම්වල
ගම්මාන වල,ගම්මාන,වල,ගම්මානවල
ග්‍රන්ථ වල,ග්‍රන්ථ,වල,ග්‍රන්ථවල
ගාථා වල,ගාථා,වල,ගාථාවල
ගැටුම් වල,ගැටුම්,වල,ගැටුම්වල
ගී වල,ගී,වල,ගීවල
ගීත වල,ගීත,වල,ගීතවල
ගුහා වල,ගුහා,වල,ගුහාවල
ගෙවල් වල,ගෙවල්,වල,ගෙවල්වල
ගොටු වල,ගොටු,වල,ගොටුවල
චරිත වල,චරිත,වල,චරිතවල
චාල්සටන් වල,චාල්සටන්,වල,චාල්සටන්වල
චැනල් වල,චැනල්,වල,චැනල්වල
චිත්‍රපට වල,චිත්‍රපට,වල,චිත්‍රපටවල
චින්තනයන් වල,චින්තනයන්,වල,චින්තනයන්වල
චෝදනා වල,චෝදනා,වල,චෝදනාවල
ඡන්දස් වල,ඡන්දස්,වල,ඡන්දස්වල
ජනවාරි වල,ජනවාරි,වල,ජනවාරිවල
ජනාවාස වල,ජනාවාස,වල,ජනාවාසවල
ජනෙල්පඩි වල,ජනෙල්පඩි,වල,ජනෙල්පඩිවල
ජාන වල,ජාන,වල,ජානවල
ජිම් වල,ජිම්,වල,ජිම්වල
ජීවිත වල,ජීවිත,වල,ජීවිතවල
ටීවි වල,ටීවි,වල,ටීවිවල
ටොරන්ට් වල,ටොරන්ට්,වල,ටොරන්ට්වල
ඩෙල්ෆ්ට් වල,ඩෙල්ෆ්ට්,වල,ඩෙල්ෆ්ට්වල
තරඟ වල,තරඟ,වල,තරඟවල
තර්ක වල,තර්ක,වල,තර්කවල
තල වල,තල,වල,තලවල
ත්‍රීවීල් වල,ත්‍රීවීල්,වල,ත්‍රීවීල්වල
තැන වල,තැන,වල,තැනවල
තැන් වල,තැන්,වල,තැන්වල
දවස් වල,දවස්,වල,දවස්වල
දශක වල,දශක,වල,දශකවල
දහම් වල,දහම්,වල,දහම්වල
දින වල,දින,වල,දිනවල
දුරකථන වල,දුරකථන,වල,දුරකථනවල
දෙවල් වල,දෙවල්,වල,දෙවල්වල
දේවල් වල,දේවල්,වල,දේවල්වල
දේශනා වල,දේශනා,වල,දේශනාවල
නගරවල් වල,නගරවල්,වල,නගරවල්වල
නවකතා වල,නවකතා,වල,නවකතාවල
නාලිකා වල,නාලිකා,වල,නාලිකාවල
නියම වල,නියම,වල,නියමවල
නිර්මාණ වල,නිර්මාණ,වල,නිර්මාණවල
නිවාස වල,නිවාස,වල,නිවාසවල
නිවෙස් වල,නිවෙස්,වල,නිවෙස්වල
නිෂ්පාදන වල,නිෂ්පාදන,වල,නිෂ්පාදනවල
පත් වල,පත්,වල,පත්වල
පත්තර වල,පත්තර,වල,පත්තරවල
පන්ති වල,පන්ති,වල,පන්තිවල
පන්දම් වල,පන්දම්,වල,පන්දම්වල
පන්සල් වල,පන්සල්,වල,පන්සල්වල
පරික්ෂන වල,පරික්ෂන,වල,පරික්ෂනවල
පරීක්ෂණ වල,පරීක්ෂණ,වල,පරීක්ෂණවල
පලාත් වල,පලාත්,වල,පලාත්වල
පලිබෝධනාශක වල,පලිබෝධනාශක,වල,පලිබෝධනාශකවල
පවුල් වල,පවුල්,වල,පවුල්වල
පළාත් වල,පළාත්,වල,පළාත්වල
ප්‍රදේශ වල,ප්‍රදේශ,වල,ප්‍රදේශවල
ප්‍රවාද වල,ප්‍රවාද,වල,ප්‍රවාදවල
ප්‍රවේශපත්‍ර වල,ප්‍රවේශපත්‍ර,වල,ප්‍රවේශපත්‍රවල
ප්‍රශ්න වල,ප්‍රශ්න,වල,ප්‍රශ්නවල
ප්‍රසංග වල,ප්‍රසංග,වල,ප්‍රසංගවල
පාසල් වල,පාසල්,වල,පාසල්වල
පාසැල් වල,පාසැල්,වල,පාසැල්වල
පැකට් වල,පැකට්,වල,පැකට්වල
පැන් වල,පැන්,වල,පැන්වල
පින්කම් වල,පින්කම්,වල,පින්කම්වල
පිරිවෙන් වල,පිරිවෙන්,වල,පිරිවෙන්වල
පිළිම වල,පිළිම,වල,පිළිමවල
පුවත්පත් වල,පුවත්පත්,වල,පුවත්පත්වල
පෙරහැරවල් වල,පෙරහැරවල්,වල,පෙරහැරවල්වල
පොත් වල,පොත්,වල,පොත්වල
පෝස්ට් වල,පෝස්ට්,වල,පෝස්ට්වල
බඩවැල් වල,බඩවැල්,වල,බඩවැල්වල
බයිලා වල,බයිලා,වල,බයිලාවල
බලවේග වල,බලවේග,වල,බලවේගවල
බව වල,බව,වල,බවවල
බස් වල,බස්,වල,බස්වල
බහලුම් වල,බහලුම්,වල,බහලුම්වල
බ්ලොග් වල,බ්ලොග්,වල,බ්ලොග්වල
බිඩේ වල,බිඩේ,වල,බිඩේවල
බිත්ති වල,බිත්ති,වල,බිත්තිවල
බිම් වල,බිම්,වල,බිම්වල
බුද්ධිමට්ටම් වල,බුද්ධිමට්ටම්,වල,බුද්ධිමට්ටම්වල
භාව වල,භාව,වල,භාවවල
මණ්ඩප වල,මණ්ඩප,වල,මණ්ඩපවල
මධ්‍යස්ථාන වල,මධ්‍යස්ථාන,වල,මධ්‍යස්ථානවල
මරුවන් වල,මරුවන්,වල,මරුවන්වල
මල් වල,මල්,වල,මල්වල
මාධ්‍ය වල,මාධ්‍ය,වල,මාධ්‍යවල
මායිම් වල,මායිම්,වල,මායිම්වල
මාර්ග වල,මාර්ග,වල,මාර්ගවල
මැදුරු වල,මැදුරු,වල,මැදුරුවල
මිනී වල,මිනී,වල,මිනීවල
මුඩුක්කු වල,මුඩුක්කු,වල,මුඩුක්කුවල
මුදල් වල,මුදල්,වල,මුදල්වල
මුරගල් වල,මුරගල්,වල,මුරගල්වල
මුවසම් වල,මුවසම්,වල,මුවසම්වල
මූලාශ්‍ර වල,මූලාශ්‍ර,වල,මූලාශ්‍රවල
මේවා වල,මේවා,වල,මේවාවල
මොබිටෙල් වල,මොබිටෙල්,වල,මොබිටෙල්වල
යතුරුපුවරු වල,යතුරුපුවරු,වල,යතුරු පුවරුවල
යන්නේ වල,යන්නේ,වල,යන්නේවල
යෝගට් වල,යෝගට්,වල,යෝගට්වල
රචනා වල,රචනා,වල,රචනාවල
රට වල,රට,වල,රටවල
රටවල් වල,රටවල්,වල,රටවල්වල
රථ වල,රථ,වල,රථවල
රාක්ක වල,රාක්ක,වල,රාක්කවල
රූප වල,රූප,වල,රූපවල
රේටිං වල,රේටිං,වල,රේටිංවල
ලන්ඩන් වල,ලන්ඩන්,වල,ලන්ඩන්වල
ලැබ් වල,ලැබ්,වල,ලැබ්වල
ලිනක්ස් වල,ලිනක්ස්,වල,ලිනක්ස්වල
ලිපි වල,ලිපි,වල,ලිපිවල
ලේ වල,ලේ,වල,ලේවල
ලේඛන වල,ලේඛන,වල,ලේඛනවල
ලොතරැයි වල,ලොතරැයි,වල,ලොතරැයිවල
ලෝක වල,ලෝක,වල,ලෝකවල
වචන වල,වචන,වල,වචනවල
වනෝද්‍යාන වල,වනෝද්‍යාන,වල,වනෝද්‍යානවල
වර්ග වල,වර්ග,වල,වර්ගවල
වළවල් වල,වළවල්,වල,වළවල්වල
ව්‍යාපාර වල,ව්‍යාපාර,වල,ව්‍යාපාරවල
වාහන වල,වාහන,වල,වාහනවල
වැඩ වල,වැඩ,වල,වැඩවල
