original,correction
අවධිවලදී,අවධි වල දී
අවස්ථාවන්වලදී,අවස්ථාවන්වල දී
අවස්ථාවලදී,අවස්ථාවල දී
අසලදී,අසල දී
ආත්මභවවලදී,ආත්ම භවවල දී
ආත්මවලදී,ආත්මවල දී
ආපදාවලදී,ආපදාවල දී
උත්සවවලදී,උත්සව වල දී
කටයුතුවලදී,කටයුතුවල දී
කර්මවලදී,කර්මවල දී
කලාපවලදී,කලාපවල දී
කවිවලදී,කවිවල දී
කාරණාවලදී,කාරණාවල දී
කාර්යවලදී,කාර්යවල දී
කාලයන්වලදී,කාලයන්වල දී
කාලවලදී,කාලවල දී
කැණීම්වලදී,කැණීම්වල දී
කිරිඳිවැලදී,කිරිඳිවැල දී
කිරීම්වලදී,කිරීම්වල දී
ගනුදෙනුවලදී,ගනුදෙනුවල දී
ගමන්වලදී,ගමන්වල දී
ගැටුම්වලදී,ගැටුම්වල දී
ජිනීවාවලදී,ජිනීවාවල දී
තරගවලදී,තරඟවල දී
තැන්වලදී,තැන්වල දී
තුලදී,තුල දී
දිනවලදී,දිනවල දී
දුරගමන්වලදී,දුරගමන්වල දී
දෙහිවලදී,දෙහිවල දී
දේශනාවලදී,දේශනාවල දී
දොරටුවලදී,දොරටුවල දී
නවකතාවලදී,නවකතාවල දී
නිර්මාණවලදී,නිර්මාණවල දී
පරීක්ෂණවලදී,පරීක්ෂණවල දී
ප්‍රදේශවලදී,ප්‍රදේශවල දී
ප්‍රශ්නවලදී,ප්‍රශ්නවල දී
ප්‍රසංගවලදී,ප්‍රසංගවල දී
පෙරහැරවලදී,පෙරහැරවල දී
බිමන්වලදී,බිමන්වල දී
භාවනාවලදී,භාවනාවල දී
භූමියතුලදී,භූමිය තුල දී
මැතිවරණවලදී,මැතිවරණවල දී
මිලදී,මිල දී
මුලදී,මුල දී
මෙහෙයුම්වලදී,මෙහෙයුම්වල දී
රටවලදී,රටවල දී
ලදී,ලදී
වතාවත්වලදී,වතාවත්වල දී
වතාවලදී,වතාවල දී
වලදී,වල දී
වැටලීම්වලදී,වැටලීම්වල දී
විමර්ශනවලදී,විමර්ශනවල දී
ශාසනවලදී,ශාසනවල දී
සටන්වලදී,සටන්වල දී
සටහන්වලදී,සටහන්වල දී
ස්ථානවලදී,ස්ථානවල දී
සාක්කිවලදී,සාක්කිවල දී
සෙන්කඩගලදී,සෙන්කඩගල දී
