original,correction
අගනේ,අගනේ
අගයන්නේ,අගයන්නේ
අග්‍රවන්නේ,අග්‍ර වන්නේ
අඩුගනනේ,අඩු ගණනේ
අඩුගානේ,අඩු ගාණේ
අඩුමගානේ,අඩුම ගාණේ
අඩුවක්නේ,අඩුවක් නේ
අඩුවෙන්නේ,අඩු වෙන්නේ
අඬවන්නේ,අඬවන්නේ
අතහරින්නේ,අතහරින්නේ
අත්දකින්නේ,අත්දකින්නේ
අත්විඳින්නේ,අත්විඳින්නේ
අතාරින්නේ,අතාරින්නේ
අතීතයේනේ,අතීතයේ නේ
අදහන්නේ,අදහන්නේ
අදින්නේ,අදින්නේ
අධ්‍යාපනේ,අධ්‍යාපනේ
අනුමතයිනේ,අනුමතයි නේ
අනුවදන්නේ,අනුවදන්නේ
අනේ,අනේ
අඳින්නේ,අඳින්නේ
අපටනේ,අපට නේ
අපරාදෙනේ,අපරාදෙ නේ
අපිනේ,අපි නේ
අපිමනේ,අපිම නේ
අමතන්නේ,අමතන්නේ
අමුසොහොනේ,අමු සොහොනේ
අමෝරන්නේ,අමෝරන්නේ
අඹරන්නේ,අඹරන්නේ
අයකරන්නේ,අයකරන්නේ
අයනේ,අය නේ
අයිනේ,අයිනේ
අරඅදින්නේ,අරඅදින්නේ
අරඹන්නේ,අරඹන්නේ
අරින්නේ,අරින්නේ
අලවන්නේ,අලවන්නේ
අල්ලන්නේ,අල්ලන්නේ
අවසානේ,අවසානේ
අවුලක්නේ,අවුලක් නේ
අසන්නේ,අසන්නේ
අසුනේ,අසුනේ
අහගන්නේ,අහගන්නේ
අහන්නේ,අහන්නේ
අහලනේ,අහල නේ
අහුරන්නේ,අහුරන්නේ
අහුවුනේ,අහුවුණේ
අහුවෙනවනේ,අහුවෙනව නේ
අහුවෙන්නේ,අහුවෙන්නේ
ආගමේකියන්නේ,ආගමේ කියන්නේ
ආදරෙයිනේ,ආදරෙයි නේ
ආමන්ත්‍රනේ,ආමන්ත්‍රණේ
ආසනේ,ආසනේ
ආසයිනේ,ආසයි නේ
ඇඟවෙන්නේ,ඇඟවෙන්නේ
ඇතිකරන්නේ,ඇති කරන්නේ
ඇතිනේ,ඇති නේ
ඇතිවන්නේ,ඇති වන්නේ
ඇතිවුනේ,ඇති වුණේ
ඇතිවෙන්නේ,ඇති වෙන්නේ
ඇදෙන්නේ,ඇදෙන්නේ
ඇඳුනේ,ඇඳුණේ
ඇරඹුනේ,ඇරඹුණේ
ඇරඹෙන්නේ,ඇරඹෙන්නේ
ඇරැඹෙන්නේ,ඇරඹෙන්නේ
ඇලවෙන්නේ,ඇලවෙන්නේ
ඇවිදින්නේ,ඇවිදින්නේ
ඇවිස්සුනේ,ඇවිස්සුණේ
ඇසෙන්නේ,ඇසෙන්නේ
ඇහැකිනේ,ඇහැකි නේ
ඇහුනේ,ඇහුණේ
ඇහෙන්නේ,ඇහෙන්නේ
ඇළුනේ,ඇලුණේ
