original,correction
අංගමුවේ,අංගමු වේ
අටුවාවේ,අටුවා වේ
අටුවේ,අටු වේ
අඩංගුවේ,අඩංගු වේ
අඩුවේ,අඩු වේ
අත්අඩංගුවේ,අත්අඩංගුවේ
අත්වේ,අත් වේ
අනූවේ,අනූවේ
අපහසුවේ,අපහසු වේ
අප්‍රිකාවේ,අප්‍රිකාවේ
අමාරුවේ,අමාරු වේ
අමුවේ,අමු වේ
අමෙරිකාවේ,ඇමරිකාවේ
අඹගමුවේ,අඹගමුවේ
අයත්වේ,අයත් වේ
අරන්තලාවේ,අරන්තලාවේ
අවස්ථාවේ,අවස්ථාවේ
අව්වේ,අව්වේ
අවිද්‍යාවේ,අවිද්‍යාවේ
අවේ,ආවේ
අසපුවේ,අසපු වේ
අහිමිවේ,අහිමි වේ
ආජන්ටිනාවේ,ආජන්ටිනාවේ
ආණඩුවේ,ආණ්ඩුවේ
ආණ්ඩුවේ,ආණ්ඩුවේ
ආන්ඩුවේ,ආණ්ඩුවේ
ආරක්ෂාවේ,ආරක්ෂා වේ
ආලකමන්දාවේ,ආලකමන්දාවේ
ආවේ,ආවේ
ආසියාවේ,ආසියාවේ
ඇණුවේ,ඇණුවේ
ඇඬුවේ,ඇඬුවේ
ඇතිවේ,ඇති වේ
ඇතුළත්වේ,ඇතුළත් වේ
ඇමරිකාවේ,ඇමරිකාවේ
ඇමෙරිකාවේ,ඇමරිකාවේ
ඇරළුවේ,ඇරළුවේ
ඇරැඹුවේ,ඇරැඹුවේ
ඇල්ජීරියාවේ,ඇල්ජීරියාවේ
ඇහැව්වේ,ඇහැව්වේ
ඇහුවේ,ඇහුවේ
ඈත්වේ,ඈත් වේ
ඉගැන්නුවේ,ඉගැන්නු වේ
ඉගැන්වේ,ඉගැන් වේ
ඉගෙන්නුවේ,ඉගෙන්නු වේ
ඉටුවේ,ඉටු වේ
ඉන්දියාවේ,ඉන්දියාවේ
ඉන්දුනීසියාවේ,ඉන්දුනීසියාවේ
ඉරිසියාවේ,ඉරිසියාවේ
ඉලව්වේ,ඉලව්වේ
ඉල්ලුවේ,ඉල්ලු වේ
ඉවහල්වේ,ඉවහල් වේ
ඉව්වේ,ඉව්වේ
ඉෂ්ටවේ,ඉෂ්ටවේ
ඉසව්වේ,ඉසව් වේ
ඉහත්තාවේ,ඉහත්තා වේ
ඊජිත්තුවේ,ඊජිප්තුවේ
ඊජිප්තුවේ,ඊජිප්තුවේ
ඊරිසියාවේ,ඊරිසියාවේ
උඩවලවේ,උඩවලවේ
උත්සවේ,උත්සවේ
උත්සාහකෙරුවේ,උත්සාහ කෙරුවේ
උදාවේ,උදා වේ
උපකාරිවේ,උපකාරි වේ
උපමාවේ,උපමා වේ
උමන්දාවේ,උමන්දා වේ
ඌවේ,ඌ වේ
ඍතුවේ,ඍතු වේ
එකතුවේ,එකතු වේ
එක්වේ,එක් වේ
එල්ලුවේ,එල්ලු වේ
එළිදැක්වේ,එළි දැක්වේ
ඔඩොක්කුවේ,ඔඩොක්කුවේ
ඔප්පුවේ,ඔප්පුවේ
ඔයගොල්ලොආවේ,ඔයගොල්ලො ආවේ
ඔලුවේ,ඔළුවේ
ඔස්ට්‍රේලියාවේ,ඔස්ට්‍රේලියාවේ
ඔළුවේ,ඔළුවේ
ඕස්ට්‍රේලියාවේ,ඕස්ට්‍රේලියාවේ
ඕස්ටේලියාවේ,ඕස්ට්‍රේලියාවේ
කතාමාලාවේ,කතා මාලාවේ
කතාවේ,කතාවේ
කථාවේ,කථාවේ
කන්තෝරුවේ,කන්තෝරුවේ
කමිටුවේ,කමිටුවේ
කමෙන්ටුවේ,කමෙන්ටුවේ
කරඬුවේ,කරඬුවේ
කරුණාවේ,කරුණාවේ
කලපුවේ,කලපුවේ
කල්පනාවේ,කල්පනා වේ
කලාවේ,කලා වේ
කහවේ,කහවේ
ක්‍රිමියාවේ,ක්‍රිමියාවේ
ක්‍රියාවේ,ක්‍රියා වේ
ක්‍රීඩාවේ,ක්‍රීඩා වේ
කායානුපස්සනාවේ,කායානුපස්සනාවේ
කාර්තුවේ,කාර්තුවේ
කැනඩාවේ,කැනඩාවේ
කැපුවේ,කැපුවේ
කැමරාවේ,කැමරාවේ
කැලෑවේ,කැලෑවේ
කැලිෆෝනියාවේ,කැලිෆෝනියාවේ
කැවේ,කැවේ
කෑගැහුවේ,කෑගැහුවේ
කෑවේ,කෑවේ
කියවේ,කියවේ
කියාදේශනාවේ,කියා දේශනාවේ
කියැවේ,කියැ වේ
කියුබාවේ,කියුබාවේ
කියුවේ,කියු වේ
කියෙව්වේ,කියෙව්වේ
කිව්වේ,කිව්වේ
කිවුවේ,කිවුවේ
කිවේ,කිවේ
කීවේ,කීවේ
කූඩුවේ,කූඩුවේ
කෙරුවේ,කෙරුවේ
කෙරෙව්වේ,කෙරෙව්වේ
කොට්ටාවේ,කොට්ටාවේ
කොටුවේ,කොටුවේ
කොපුවේ,කොපුවේ
කොරියාවේ,කොරියාවේ
කොලොන්නාවේ,කොලොන්නාවේ
කෝවේ,කෝවේ
ගංගාවේ,ගංගාවේ
ගංඟාවේ,ගංගාවේ
ගතවේ,ගතවේ
ගබඩාවේ,ගබඩාවේ
ගයාවේ,ගයාවේ
ගල්ගුහාවේ,ගල් ගුහාවේ
ගල්තලාවේ,ගල් තලාවේ
ගල්වංගුවේ,ගල් වංගුවේ
ගාථාවේ,ගාථාවේ
ගැටලුවේ,ගැටලුවේ
ගැටළුවේ,ගැටළුවේ
ගැයුවේ,ගැයුවේ
ගැසුවේ,ගැසුවේ
ගැහැව්වේ,ගැහැව්වේ
ගැහුවේ,ගැහුවේ
ගැහෙව්වේ,ගැහෙව්වේ
ගෑවේ,ගෑවේ
ගියාවේ,ගියා වේ
ගිරුවාපත්තුවේ,ගිරුවාපත්තුවේ
ගිල්ලුවේ,ගිල්ලුවේ
ගීතාවේ,ගීතාවේ
ගෙනාවේ,ගෙනාවේ
ගෙව්වේ,ගෙව් වේ
ගේට්ටුවේ,ගේට්ටුවේ
ගොඩනැංවේ,ගොඩනැංවේ
ගොනුවේ,ගොනු වේ
ගෞරවේ,ගෞරවේ
චර්යාවේ,චර්යාවේ
චාරිකාවේ,චාරිකාවේ
ටියුනීසියාවේ,ටියුනීසියාවේ
ටීකාවේ,ටීකාවේ
ඩයස්පොරාවේ,ඩයස්පොරාවේ
තට්ටුවේ,තට්ටුවේ
තත්ත්වේ,තත්වේ
තත්වේ,තත්වේ
තමිල්නාඩුවේ,තමිල්නාඩුවේ
තව්තිසාවේ,තව්තිසාවේ
තාම්පූරාවේ,තාම්පූරාවේ
තැබුවේ,තැබුවේ
තැවේ,තැවේ
තිබ්බටුවාවේ,තිබ්බටුවාවේ
තිබුණාවේ,තිබුණාවේ
තීන්දුවේ,තීන්දුවේ
තීරුවේ,තීරුවේ
තුවක්කුවේ,තුවක්කුවේ
තේවාවේ,තේවාවේ
තොටගමුවේ,තොටගමුවේ
දනව්වේ,දනව්වේ
දම්දිවේ,දම්දිවේ
දයාවේ,දයාවේ
දහරාවේ,දහරාවේ
දැකපුවාවේ,දැකපුවාවේ
දැක්වුවේ,දැක්වූවේ
දැක්වූවේ,දැක්වූවේ
දැක්වේ,දැක්වේ
දැගලුවේ,දැගලුවේ
දැමුවේ,දැමුවේ
දැරුවේ,දැරුවේ
දැල්වේ,දැල්වේ
දිනුවේ,දිනුවේ
දියුණුවේ,දියුණු වේ
දිව්වේ,දිව්වේ
දිවේ,දිවේ
දිශාවේ,දිශාවේ
දිස්වේ,දිස්වේ
දිසාවේ,දිසාවේ
දුටුවේ,දුටු වේ
දුරාවේ,දුරාවේ
දුරුවේ,දුරුවේ
දුවේ,දුවේ
දෙපාර්තමේන්තුවේ,දෙපාර්තමේන්තුවේ
දෙපාර්තුමේන්තුවේ,දෙපාර්තුමේන්තුවේ
දෙපිරිසවේ,දෙපිරිසවේ
දෙසුවේ,දෙසුවේ
දේශනාවේ,දේශනාවේ
දේශසීමාවේ,දේශසීමාවේ
දොරටුවේ,දොරටුවේ
දෝලාවේ,දෝලාවේ
දෝවේ,දෝවේ
ධාරාවේ,ධාරාවේ
නඩුවේ,නඩුවේ
නයිජීරියාවේ,නයිජීරියාවේ
නවකතාවේ,නවකතාවේ
නාමපුවරුවේ,නාමපුවරුවේ
නාර්නියාවේ,නාර්නියාවේ
නාලිකාවේ,නාලිකාවේ
නැටුවේ,නැටුවේ
නැඹුරුවේ,නැඹුරුවේ
නැරඹුවේ,නැරඹුවේ
නැවැත්තුවේ,නැවැත්තුවේ
නැවේ,නැවේ
නිකුත්වේ,නිකුත්වේ
නිද්‍රාවේ,නිද්‍රාවේ
නිව්ගිනියාවේ,නිව්ගිනියාවේ
නෙවේ,නෙවේ
නොආවේ,නො ආවේ
නොකියැවේ,නො කියැවේ
නොදැක්වේ,නො දැක්වේ
නොදුටුවේ,නො දුටුවේ
නොර්වේ,නොර්වේ
නොලැබුවේ,නො ලැබුවේ
නොවේ,නො වේ
නෝර්වේ,නෝර්වේ
නෞකාවේ,නෞකාවේ
පත්වේ,පත්වේ
පතිරෙව්වුවේ,පතිරෙව්වුවේ
පපුවේ,පපුවේ
පරම්පරාවේ,පරම්පරාවේ
පරම්පාරාවේ,පරම්පාරාවේ
පරමිපරාවේ,පරමිපරාවේ
පරීක්ෂාවේ,පරීක්ෂාවේ
පවේ,පවේ
පස්වරුවේ,පස්වරු වේ
පසුතැවේ,පසුතැවේ
පහලවේ,පහල වේ
ප්‍රචණ්ඩත්වේ,ප්‍රචණ්ඩත්වේ
ප්‍රජාවේ,ප්‍රජාවේ
ප්‍රඥාවේ,ප්‍රඥාවේ
ප්‍රතිපදාවේ,ප්‍රතිපදාවේ
ප්‍රබන්ධකතාවේ,ප්‍රබන්ධකතාවේ
ප්‍රීතිවේ,ප්‍රීතිවේ
පාඩුවේ,පාඩුවේ
පාර්ලිමෙන්තුවේ,පාර්ලිමේන්තුවේ
පාර්ලිමේන්තුවේ,පාර්ලිමේන්තුවේ
පාලටුවේ,පාලටුවේ
පැතිරුවේ,පැතිරුවේ
පැතුවේ,පැතුවේ
පැනවේ,පැනවේ
පැවරුවේ,පැවරුවේ
පැවසුවේ,පැවසුවේ
පැවසූවේ,පැවසූවේ
පැවැත්තුවේ,පැවැත්තුවේ
පැවැත්වේ,පැවැත්වේ
පැවැසුවේ,පැවැසුවේ
පැහැදිලිවේ,පැහැදිලිවේ
පෑවේ,පෑවේ
පිටකොටුව්වේ,පිටකොටුවේ
පිටකොටුවේ,පිටකොටුවේ
පිටිදුවේ,පිටිදූවේ
පිටිදූවේ,පිටිදූවේ
පිටුවේ,පිටුවේ
පිදුවේ,පිදුවේ
පිපුරුවේ,පිපුරුවේ
පිරෙවුවේ,පිරෙවුවේ
පිල්ලෑවේ,පිල්ලෑවේ
පිස්සුවේ,පිස්සුවේ
පිහිටෙව්වේ,පිහිටෙව්වේ
පිළිකුත්තුවේ,පිළිකුත්තුවේ
පුටුවේ,පුටුවේ
පුහුණුවේ,පුහුණුවේ
පූජාවේ,පූජාවේ
පූර්විකාවේ,පූර්විකාවේ
පෙන්නුවේ,පෙන්නුවේ
පෙරදිසාවේ,පෙර දිසාවේ
පෙරවරුවේ,පෙරවරුවේ
පෙරළුවේ,පෙරළුවේ
පේරුවේ,පේරුවේ
පොදුවේ,පොදුවේ
පොලවේ,පොලවේ
පොලොවේ,පොලොවේ
පොහොට්ටුවේ,පොහොට්ටුවේ
පොළවේ,පොළවේ
පොළොන්නරුවේ,පොළොන්නරුවේ
පොළොවේ,පොළොවේ
පෝරුවේ,පෝරුවේ
පෝස්ටුවේ,පෝස්ටුවේ
බටදූවේ,බටදූවේ
