original,correction
අකරුණාව,අකරුණාව
අකරුනාව,අකරුණාව
අක්කරේපත්තුව,අක්කරේපත්තුව
අක්කව,අක්කව
අක්කාව,අක්කාව
අකාර්යක්ෂමතාව,අකාර්යක්ෂමතාව
අකාරුණිකව,අකාරුණික ව
අකැමැතිව,අකමැති ව
අඛණ්ඩව,අඛණ්ඩ ව
අඛන්ඩව,අඛණ්ඩ ව
අගතැන්පත්ව,අගතැන් පත් ව
අගබිසව,අගබිසව
අගමැතිව,අගමැති ව
අගෞරව,අගෞරව
අච්චුව,අච්චුව
අජීව,අජීව
අටුවාව,අටුවාව
අඩංගුව,අඩංගු ව
අඩගහනව,අඬගහනවා
අඩනව,අඬනවා
අඩපණව,අඩපණ ව
අඩාළව,අඩාළ ව
අඩුපාඩුව,අඩුපාඩුව
අඩුව,අඩුව
අඩුවක්ව,අඩුවක් ව
අතරමංව,අතරමං ව
අතාරින්නැතුව,අතාරින් නැතුව
අතැතිව,අතැති ව
අතුගානව,අතුගානවා
අතුරුදහන්ව,අතුරුදහන් ව
අතුරුන්ව,අතුරුදන් ව
අථර්ව,අථර්ව
අදහනව,අදහනවා
අදාලව,අදාළ ව
අදාළව,අදාළ ව
අදිත්‍යව,අදිත්‍යව
අධ්‍යාත්මිකව,අධ්‍යාත්මික ව
අධාර්මිකව,අධාර්මික ව
අධිකව,අධික ව
අධිපතිව,අධිපති ව
අනතුරව,අනතුරු ව
අනතුරුව,අනතුරු ව
අනන්න්‍යතාව,අනන්‍යතාව
අනන්‍යතාව,අනන්‍යතාව
අනපේක්ෂිතව,අනපේක්ෂිත ව
අනලසව,අනලස ව
අනලස්බව,අනලස් බව
අන්කල්ව,අන්කල්ව
අන්තර්ගතව,අන්තර්ගත ව
අන්තර්ජාතිකව,අන්තර්ජාතික ව
අනාතව,අනාථ ව
අනාථව,අනාථ ව
අනාරක්ෂිතව,අනාරක්ෂිත ව
අනාසව,අනාසව
අනිකාව,අනිකාව
අනිත්‍යතාව,අනිත්‍යතාව
අනිත්‍යානුපස්සනාව,අනිත්‍යානුපස්සනාව
අනිව,අනිව
අනුකම්පාව,අනුකම්පාව
අනුකූලව,අනුකූල ව
අනුගතව,අනුගත ව
අනුදිශාව,අනුදිශාව
අනුපස්සනාව,අනුපස්සනාව
අනුභව,අනුභව
අනුරූපව,අනුරූප ව
අනුව,අනුව
