original,first,second,correction
උන්වහන්සේ ගෙන්,උන්වහන්සේ,ගෙන්,උන්වහන්සේගෙන්
එකෙක් ගෙන්,එකෙක්,ගෙන්,එකෙක්ගෙන්
එම ගෙන්,එම,ගෙන්,එමගෙන්
ඒ ගෙන්,ඒ,ගෙන්,ඒගෙන්
කකා ගෙන්,කකා,ගෙන්,කකාගෙන්
කපුගේ ගෙන්,කපුගේ,ගෙන්,කපුගේගෙන්
ගායකයින් ගෙන්,ගායකයින්,ගෙන්,ගායකයින්ගෙන්
චන්දිමාල් ගෙන්,චන්දිමාල්,ගෙන්,චන්දිමාල්ගෙන්
ජනතාව ගෙන්,ජනතාව,ගෙන්,ජනතාවගෙන්
ජීවීන් ගෙන්,ජීවීන්,ගෙන්,ජීවීන්ගෙන්
තාත්තා ගෙන්,තාත්තා,ගෙන්,තාත්තාගෙන්
දෙනා ගෙන්,දෙනා,ගෙන්,දෙනාගෙන්
දෙවියන් ගෙන්,දෙවියන්,ගෙන්,දෙවියන්ගෙන්
ප්‍රාණීන් ගෙන්,ප්‍රාණීන්,ගෙන්,ප්‍රාණීන්ගෙන්
පිරිමින් ගෙන්,පිරිමින්,ගෙන්,පිරිමින්ගෙන්
පිරිස ගෙන්,පිරිස,ගෙන්,පිරිසගෙන්
බබාලා ගෙන්,බබාලා,ගෙන්,බබාලාගෙන්
භක්තිකයන් ගෙන්,භක්තිකයන්,ගෙන්,භක්තිකයන්ගෙන්
මහතා ගෙන්,මහතා,ගෙන්,මහතාගෙන්
මොවුන් ගෙන්,මොවුන්,ගෙන්,මොවුන්ගෙන්
යසස් ගෙන්,යසස්,ගෙන්,යසස්ගෙන්
රක්ෂිතයන් ගෙන්,රක්ෂිතයන්,ගෙන්,රක්ෂිතයන්ගෙන්
ලොක්කා ගෙන්,ලොක්කා,ගෙන්,ලොක්කාගෙන්
වහන්සේ ගෙන්,වහන්සේ,ගෙන්,වහන්සේගෙන්
විකටයෙකු ගෙන්,විකටයෙකු,ගෙන්,විකටයෙකුගෙන්
විස් ගෙන්,විස්,ගෙන්,විස්ගෙන්
ශරෝන් ගෙන්,ශරෝන්,ගෙන්,ශරෝන්ගෙන්
සරච්චන්ද්‍ර ගෙන්,සරච්චන්ද්‍ර,ගෙන්,සරච්චන්ද්‍රගෙන්
සුගත් ගෙන්,සුගත්,ගෙන්,සුගත්ගෙන්
හෝහපුටුවන් ගෙන්,හෝහපුටුවන්,ගෙන්,හෝහපුටුවන්ගෙන්
