original,correction
අදාලද,අදාල ද
අසලද,අසල ද
ආහාරවලද,ආහාරවල ද
ඉදලද,ඉදල ද
උගන්නලද,උගන්නල ද
කකුලද,කකුල ද
කනස්සල්ලද,කනස්සල්ල ද
කරලද,කරල ද
කලද,කළ ද
කියලද,කියල ද
කියවලද,කියවල ද
කෝලාහලද,කෝලාහල ද
ගෙනිහිල්ලද,ගෙනිහිල්ල ද
ගොඩනැගිල්ලද,ගොඩනැගිල්ල ද
චණ්ඩාලද,චණ්ඩාල ද
දක්වනලද,දක්වන ලද
දනව්වලද,දනව්වල ද
දාලද,දාල ද
දේවාලද,දේවාල ද
නොකලද,නොකළ ද
නොලද,නො ලද
පහසලද,පහස ලද
ප්‍රදේශවලද,ප්‍රදේශවල ද
පිල්ලද,පිල්ල ද
පිළිකුලද,පිළිකුල ද
පිළියන්දලද,පිළියන්දල ද
පොසිලද,පොසිල ද
බලලද,බලල ද
බීලද,බීල ද
මථුරාවලද,මථුරාවල ද
මන්දිරවලද,මන්දිරවල ද
රචනාවලද,රචනාවල ද
රජාගලද,රජාගල ද
රටවලද,රටවල ද
රාජ්‍යවලද,රාජ්‍යවල ද
රිංගලද,රිංගල ද
ලද,ලද
වලද,වල ද
වැලද,වැළඳ
වැහිලද,වැහිල ද
විකුණලද,විකුණල ද
විලද,විල ද
වෙලද,වෙළඳ
ශාසනවලද,ශාසනවල ද
සිවුරුවලද,සිවුරුවල ද
සීතලද,සීතල ද
හැදිලද,හැදිල ද
හිතලද,හිතල ද
හෙවනැල්ලද,හෙවනැල්ල ද
