original,correction
අත්වනු,අත් වනු
අස්වනු,අස්වනු
ඉදිනොවනු,ඉදි නො වනු
උගන්වනු,උගන්වනු
උසුරුවනු,උසුරුවනු
එකතුවනු,එකතු වනු
එක්වනු,එක් වනු
එල්ලවනු,එල්ල වනු
එවනු,එවනු
එළවනු,එළ වනු
කරවනු,කර වනු
කහවනු,කහ වනු
කැදවනු,කැඳ වනු
කැඳවනු,කැඳ වනු
කියවනු,කිය වනු
ගතවනු,ගත වනු
ගෙවනු,ගෙවනු
දක්වනු,දක්ව නු
නටවනු,නට වනු
නිපදවනු,නිපද වනු
නොවනු,නො වනු
පත්වනු,පත් වනු
පවත්වනු,පවත් වනු
පිටත්වනු,පිටත් වනු
පිහිටවනු,පිහිට වනු
පිළිගන්වනු,පිළිගන් වනු
බැරිවනු,බැරි වනු
මෙහෙයවනු,මෙහෙය වනු
යොදවනු,යොද වනු
යොමුවනු,යොමු වනු
වඩම්මවනු,වඩම්ම වනු
වනු,වනු
වැඩිවනු,වැඩි වනු
සගවනු,සගවනු
සතුටුවනු,සතුටු වනු
සමත්වනු,සමත් වනු
සලස්වනු,සලස්වනු
සාදවනු,සාදවනු
සාර්ථකවනු,සාර්ථක වනු
සිදුනොවනු,සිදු නො වනු
සිදුවනු,සිදුවනු
සිරවනු,සිර වනු
සිහිගන්වනු,සිහිගන්වනු
හදුන්වනු,හදුන්වනු
හඳුන්වනු,හඳුන්වනු
හමාරවනු,හමාර වනු
හමුවනු,හමු වනු
හැකිවනු,හැකි වනු
හිමිවනු,හිමි වනු
හේතුවනු,හේතු වනු
හොබවනු,හොබවනු
