original,correction
අඩුවෙයි,අඩු වෙයි
අත්වෙයි,අත් වෙයි
අමාරුවෙයි,අමාරු වෙයි
අසුවෙයි,අසු වෙයි
අහුවෙයි,අහු වෙයි
ඇතිවෙයි,ඇති වෙයි
ඇහැක්වෙයි,ඇහැක් වෙයි
ඉංදියාවෙයි,ඉංදියාවෙයි
ඉගැන්වෙයි,ඉගැන්වෙයි
ඉටුවෙයි,ඉටු වෙයි
ඉවහල්වෙයි,ඉවහල් වෙයි
උදාවෙයි,උදා වෙයි
එල්ලවෙයි,එල්ල වෙයි
කරකැවෙයි,කරකැවෙයි
කියවෙයි,කියවෙයි
කියැවෙයි,කියැවෙයි
ගතවෙයි,ගතවෙයි
ගැබ්වෙයි,ගැබ් වෙයි
ජීවත්වෙයි,ජීවත් වෙයි
දැක්වෙයි,දැක්වෙයි
දුරුවෙයි,දුරු වෙයි
නැතිවෙයි,නැති වෙයි
නිදහස්වෙයි,නිදහස් වෙයි
නෙවෙයි,නෙවෙයි
නොවෙයි,නොවෙයි
පත්වෙයි,පත් වෙයි
පළවෙයි,පළ වෙයි
පැවැත්වෙයි,පැවැත්වෙයි
පැහැදිලිවෙයි,පැහැදිලි වෙයි
පිහිටවෙයි,පිහිට වෙයි
බයවෙයි,බය වෙයි
බාධාවෙයි,බාධා වෙයි
බැරිවෙයි,බැරි වෙයි
බිහිවෙයි,බිහි වෙයි
මතුවෙයි,මතු වෙයි
මදිවෙයි,මදි වෙයි
යාළුවෙයි,යාළු වෙයි
යුතුවෙයි,යුතු වෙයි
ලංකාවෙයි,ලංකාවෙයි
ලක්වෙයි,ලක් වෙයි
ව්‍යවහාරවෙයි,ව්‍යවහාර වෙයි
වැඩිවෙයි,වැඩි වෙයි
වැදගත්වෙයි,වැදගත් වෙයි
විද්‍යාවෙයි,විද්‍යාවෙයි
විරුද්ධවෙයි,විරුද්ධ වෙයි
වෙයි,වෙයි
සටහන්වෙයි,සටහන් වෙයි
සනාථවෙයි,සනාථ වෙයි
සඳහන්වෙයි,සඳහන් වෙයි
සමානවෙයි,සමාන වෙයි
සිද්ධවෙයි,සිද්ධ වෙයි
සිදුවෙයි,සිදු වෙයි
සිහිවෙයි,සිහි වෙයි
හම්බවෙයි,හම්බ වෙයි
හමුවෙයි,හමු වෙයි
හැකිවෙයි,හැකි වෙයි
හැදින්වෙයි,හැඳින්වෙයි
හැඳින්වෙයි,හැඳින්වෙයි
හැඳීන්වෙයි,හැඳින්වෙයි
හිනාවෙයි,හිනා වෙයි
හිමිවෙයි,හිමි වෙයි
හුරුවෙයි,හුරු වෙයි
හෙළිවෙයි,හෙළි වෙයි
හේතුවෙයි,හේතු වෙයි
හොදවෙයි,හොඳ වෙයි
