original,correction
අංශයකම,අංශයකම
අංශයකින්ම,අංශයකින් ම
අංශෙම,අංශෙම
අකමැතිම,අකමැතිම
අකරගම,අකරගම
අකුරටම,අකුරට ම
අගටම,අගට ම
අගනාම,අගනා ම
අග්‍රතම,අග්‍රත ම
අග්‍රම,අග්‍ර ම
අඥාදායකයින්ම,අඥාදායකයින් ම
අටක්ම,අටක් ම
අඩක්ම,අඩක් ම
අඩවියෙන්ම,අඩවියෙන් ම
අඩිතාලම,අඩිතාලම
අඩියේම,අඩියේ ම
අඩුකම,අඩුකම
අඩුකීරිම,අඩු කීරිම
අඩුම,අඩුම
අඩුවීම,අඩුවීම
අඩුවෙන්ම,අඩුවෙන් ම
අතකින්ම,අතකින් ම
අතරතුරේම,අතරතුරේ ම
අතරම,අතර ම
අතරෙම,අතරෙ ම
අතරේම,අතරේ ම
අතහැරයාම,අතහැර යාම
අතහැරීම,අතහැරීම
අත්තක්ම,අත්තක් ම
අත්තිම,අන්තිම
අත්තෙන්ම,අත්තෙන් ම
අත්දැකිම,අත්දැකීම
අත්දැකීම,අත්දැකීම
අත්දැකීමෙන්ම,අත්දැකීමෙන් ම
අත්දෙකම,අත් දෙක ම
අත්මිදීම,අත්මිදීම
අත්හැරයාම,අත්හැරයාම
අත්හැරීම,අත්හැරීම
අත්‍යන්තයෙන්ම,අත්‍යන්තයෙන් ම
අත්‍යවශ්‍යම,අත්‍යවශ්‍ය ම
අත්‍යවශ්‍යයෙන්ම,අත්‍යවශ්‍යයෙන් ම
අතින්ම,අතින් ම
අතිශයින්ම,අතිශයින් ම
අතිශයෙන්ම,අතිශයෙන් ම
අතුරුදන්වීම,අතුරුදන් වීම
අතුරුදහන්වීම,අතුරුදහන් වීම
අතේම,අතේම
අදක්ෂම,අදක්ෂම
අදපුත්තලම,අද පුත්තලම
අදම,අද ම
අද්දරම,අද්දර ම
අද්දැකීම,අද්දැකීම
අදුරටම,අදුරට ම
අධම,අධම
අධම්ම,අධම්ම
අධර්ම,අධර්ම
අධ්‍යෂකවරයාම,අධ්‍යෂකවරයාම
අධ්‍යාත්ම,අධ්‍යාත්ම
අධිකම,අධිකම
අධිගම,අධිගම
අනර්ඝතම,අනර්ඝතම
අන්තයකටම,අන්තයකට ම
අන්තිම,අන්තිම
අන්තිමටම,අන්තිමට ම
අන්තෙටම,අන්තෙට ම
අන්තෙම,අන්තෙම
අන්දම,අන්දම
අනාත්ම,අනාත්ම
අනිතිම,අනිතිම
අනිද්දාම,අනිද්දාම
අනිවර්යයෙන්ම,අනිවාර්යයෙන් ම
අනිවාරතයෙන්ම,අනිවාර්යයෙන් ම
අනිවාරයෙන්ම,අනිවාරයෙන් ම
අනිවාර්යයයෙන්ම,අනිවාර්යයෙන් ම
අනිවාර්යයෙන්ම,අනිවාර්යයෙන් ම
අනිවාර්යෙන්ම,අනිවාර්යෙන් ම
අනිවාරෙන්ම,අනිවාරෙන් ම
අනුකූලවම,අනුකූලව ම
අනුගතවීම,අනුගත වීම
අනුදැනුම,අනුදැනුම
අනුන්ගේම,අනුන්ගේ ම
අනුමානවම,අනුමානවම
අනුවණකම,අනුවණකම
අනුවම,අනුව ම
අනුහසින්ම,අනුහසින් ම
අනූඅටක්ම,අනූ අටක් ම
අනූවකටම,අනූවකට ම
අනෝම,අනෝම
අඳුරේම,අඳුරේ ම
අපගේම,අපගේ ම
අපටම,අපට ම
අපම,අප ම
අපවම,අපව ම
අපහාසකිරීම,අපහාස කිරීම
අප්පිරියම,අප්පිරිය ම
අප්ම,අප්ම
අප්‍රමාදයටම,අප්‍රමාදයට ම
අප්‍රසන්නවීම,අප්‍රසන්න වීම
අපාගතවීම,අපාගත වීම
අපිටම,අපිට ම
අපිම,අපිම
අපූර්වතම,අපූර්වතම
අපූරුතම,අපූරුතම
අපෙන්ම,අපෙන් ම
අපේකම,අපේකම
අපේම,අපේම
අභයවික්‍රම,අභයවික්‍රම
අභිධර්ම,අභිධර්ම
අමතරම,අමතර ම
අමනකම,අමනකම
අම්බලම,අම්බලම
අම්ම,අම්ම
අමාරුකම,අමාරුකම
අමාරුම,අමාරු ම
අමුණලාම,අමුණලා ම
අමුණුගම,අමුණුගම
අමුතුම,අමුතුම
අමුතුවෙන්ම,අමුතුවෙන් ම
අමුද්‍රව්‍යම,අමුද්‍රව්‍ය ම
අමුම,අමු ම
අමුවෙන්ම,අමුවෙන් ම
අයකුම,අයකු ම
අයගෙන්ම,අයගෙන් ම
අයටම,අයට ම
අයම,අය ම
අයවැයකින්ම,අයවැයකින් ම
අයිතියම,අයිතිය ම
අයිතිවාසිකම,අයිතිවාසිකම
අයිනෙම,අයිනෙ ම
අයියාගේම,අයියාගේ ම
අයියෙකුගේම,අයියෙකුගේ ම
අයුරින්ම,අයුරින් ම
අයෙක්ම,අයෙක් ම
අරකෙම,අරකෙ ම
