original,first,second,correction
අතිසාර්ථක ව,අතිසාර්ථක,ව,අතිසාර්ථක ව
අදාළ ව,අදාළ,ව,අදාළ ව
අන්තර්ගත ව,අන්තර්ගත,ව,අන්තර්ගත ව
අප්‍රකට ව,අප්‍රකට,ව,අප්‍රකට ව
අමතක ව,අමතක,ව,අමතක ව
අමතර ව,අමතර,ව,අමතර ව
අවතීර්ණ ව,අවතීර්ණ,ව,අවතීර්ණ ව
ඇති ව,ඇති,ව,ඇති ව
ඇය ව,ඇය,ව,ඇය ව
ඉදිරිපත් ව,ඉදිරිපත්,ව,ඉදිරිපත් ව
ඉවත් ව,ඉවත්,ව,ඉවත් ව
එකත්පස් ව,එකත්පස්,ව,එකත්පස් ව
එක් ව,එක්,ව,එක් ව
එක්තැන් ව,එක්තැන්,ව,එක්තැන් ව
එරෙහි ව,එරෙහි,ව,එරෙහි ව
ඒකමතික ව,ඒකමතික,ව,ඒකමතික ව
ඒකාග්‍ර ව,ඒකාග්‍ර,ව,ඒකාග්‍ර ව
ඒකාබද්ධ ව,ඒකාබද්ධ,ව,ඒකාබද්ධ ව
ඔවුන් ව,ඔවුන්,ව,ඔවුන් ව
කමැති ව,කමැති,ව,කැමති ව
කලාත්මක ව,කලාත්මක,ව,කලාත්මක ව
ක්ෂණික ව,ක්ෂණික,ව,ක්ෂණික ව
ක්‍රමවත් ව,ක්‍රමවත්,ව,ක්‍රමවත් ව
ක්‍රමාණුකූල ව,ක්‍රමාණුකූල,ව,ක්‍රමානුකූල ව
කීයක් ව,කීයක්,ව,කීයක් ව
ගත ව,ගත,ව,ගත ව
ගමේකොල්ලා ව,ගමේකොල්ලා,ව,ගමේ කොල්ලාව
ග්‍රේටල් ව,ග්‍රේටල්,ව,ග්‍රේටල් ව
ගුරුසින්හ ව,ගුරුසින්හ,ව,ගුරුසිංහව
චුත ව,චුත,ව,චුත ව
ජීවත් ව,ජීවත්,ව,ජීවත් ව
ජෝ ව,ජෝ,ව,ජෝ ව
ඩන්කන් ව,ඩන්කන්,ව,ඩන්කන් ව
