original,first,second,correction
අංශ වලට,අංශ,වලට,අංශවලට
අකුණු වලට,අකුණු,වලට,අකුණුවලට
අඟුරු වලට,අඟුරු,වලට,අඟුරුවලට
අතු වලට,අතු,වලට,අතුවලට
අදහස් වලට,අදහස්,වලට,අදහස්වලට
අනතුරු වලට,අනතුරු,වලට,අනතුරුවලට
අපරාද වලට,අපරාද,වලට,අපරාදවලට
අපරාධ වලට,අපරාධ,වලට,අපරාධවලට
අභියෝග වලට,අභියෝග,වලට,අභියෝගවලට
අඹ වලට,අඹ,වලට,අඹවලට
අවතාර වලට,අවතාර,වලට,අවතාරවලට
අසපු වලට,අසපු,වලට,අසපුවලට
ආගම වලට,ආගම,වලට,ආගමවලට
ආගම් වලට,ආගම්,වලට,ආගම්වලට
ආයතන වලට,ආයතන,වලට,ආයතනවලට
ආහාර වලට,ආහාර,වලට,ආහාරවලට
ඇක්ෂන් වලට,ඇක්ෂන්,වලට,ඇක්ෂන්වලට
ඇන්ඩ්‍රොයිඩ් වලට,ඇන්ඩ්‍රොයිඩ්,වලට,ඇන්ඩ්‍රොයිඩ්වලට
ඇඳුම් වලට,ඇඳුම්,වලට,ඇඳුම්වලට
ඇස් වලට,ඇස්,වලට,ඇස්වලට
ඉගැන්වීම් වලට,ඉගැන්වීම්,වලට,ඉගැන්වීම්වලට
ඉගැන්වීමේකටයුතු වලට,ඉගැන්වීමේකටයුතු,වලට,ඉගැන්වීමේ කටයුතුවලට
ඉඩම් වලට,ඉඩම්,වලට,ඉඩම්වලට
ඉන්ද්‍රිය වලට,ඉන්ද්‍රිය,වලට,ඉන්ද්‍රියවලට
ඉන්ද්‍රීය වලට,ඉන්ද්‍රීය,වලට,ඉන්ද්‍රීයවලට
ඉරටු වලට,ඉරටු,වලට,ඉරටුවලට
ඉල්ලීම් වලට,ඉල්ලීම්,වලට,ඉල්ලීම්වලට
ඉස්පිරිතාල වලට,ඉස්පිරිතාල,වලට,ඉස්පිරිතාලවලට
උදුන් වලට,උදුන්,වලට,උදුන්වලට
උපද්දරව වලට,උපද්දරව,වලට,උපද්දරවවලට
උපදෙස් වලට,උපදෙස්,වලට,උපදෙස්වලට
උපශීර්ෂ වලට,උපශීර්ෂ,වලට,උපශීර්ෂවලට
උපසිරැසි වලට,උපසිරැසි,වලට,උපසිරැසිවලට
උළෙලවල් වලට,උළෙලවල්,වලට,උළෙලවල්වලට
එල්ඩොර් වලට,එල්ඩොර්,වලට,එල්ඩොර්වලට
