original,correction
අග්‍රවූ,අග්‍ර වූ
අග්‍රාමාත්‍යවරයෙකුවූ,අග්‍රාමාත්‍යවරයෙකු වූ
අතලොස්සක්වූ,අතලොස්සක් වූ
අත්වූ,අත් වූ
අනුගතවූ,අනුගත වූ
අමාරුවූ,අමාරු වූ
අයත්වූ,අයත් වූ
අලංකාරවූ,අලංකාර වූ
අවසන්වූ,අවසන් වූ
අසරණවූ,අසරණ වූ
අස්වූ,අස් වූ
අහිමිවූ,අහිමි වූ
ආරම්භවූ,ආරම්භ වූ
ඇටවූ,ඇට වූ
ඇත්තාවූ,ඇත්තා වූ
ඇතිවූ,ඇති වූ
ඇතුළුවූ,ඇතුළු වූ
ඉක්මවූ,ඉක්ම වූ
ඉගැන්වූ,ඉගැන් වූ
ඉදිවූ,ඉදි වූ
ඉන්නාවූ,ඉන්නා වූ
ඉවත්වූ,ඉවත් වූ
ඊයේපිහිටවූ,ඊයේ පිහිට වූ
උද්ගතවූ,උද්ගත වූ
උදාවූ,උදා වූ
උස්වූ,උස් වූ
උසිගැන්වූ,උසිගැන් වූ
එක්වූ,එක් වූ
එමගතවූ,එමගත වූ
එල්ලවූ,එල්ල වූ
එවන්වූ,එවන් වූ
එවූ,එවූ
එසවූ,එස වූ
එළිදැක්වූ,එළි දැක්වූ
කරකැවූ,කර කැවූ
කරන්නාවූ,කරන්නා වූ
කරවූ,කර වූ
ක්ෂීණාශ්‍රවවූ,ක්ෂීණාශ්‍රව වූ
කැඳවූ,කැඳ වූ
කැපවූ,කැප වූ
කැවූ,කැවූ
කියන්නාවූ,කියන්නා වූ
කියවූ,කිය වූ
කිවූ,කිවූ
කොටුවූ,කොටු වූ
ගහනවූ,ගහන වූ
ගැන්වූ,ගැන් වූ
ගියාවූ,ගියා වූ
ගෙන්වූ,ගෙන් වූ
ගෙවූ,ගෙවූ
ජීවත්වූ,ජීවත් වූ
තනිවූ,තනි වූ
තිරගතවූ,තිරගත වූ
දායකවූ,දායක වූ
දැකවූ,දැක වූ
දැක්වූ,දැක් වූ
දියබත්වූ,දියබත් වූ
දිවූ,දි වූ
දෙවූ,දෙවූ
ධාවනයවූ,ධාවනය වූ
නැංවූ,නැං වූ
නැඹුරුවූ,නැඹුරු වූ
නැවැත්වූ,නැවැත් වූ
නිකුත්වූ,නිකුත් වූ
නිපදවූ,නිපද වූ
නිමකරවූ,නිමකර වූ
නිමවූ,නිම වූ
නිමාවූ,නිමා වූ
නුවූ,නු වූ
නොවූ,නො වූ
නොහැකිවූ,නොහැකි වූ
පත්වූ,පත් වූ
පසුවූ,පසු වූ
පළවූ,පළ වූ
පාත්වූ,පාත් වූ
පාරාජිකාවූ,පාරාජිකා වූ
පැදවූ,පැද වූ
පැනවූ,පැන වූ
පැවත්වූ,පැවත් වූ
පැවැත්වූ,පැවැත් වූ
පිටවූ,පිට වූ
පිරවූ,පිර වූ
පිහිටවූ,පිහිට වූ
පිළිගැන්වූ,පිළිගැන් වූ
පුත්වූ,පුත් වූ
පුත්‍රයාවූ,පුත්‍රයා වූ
පෙඟවූ,පෙඟ වූ
පෙන්වූ,පෙන් වූ
පෙවූ,පෙවූ
බරවූ,බර වූ
බලපැවැත්වූ,බල පැවැත් වූ
බහුලවූ,බහුල වූ
බැරිවූ,බැරි වූ
බියවූ,බිය වූ
බිහිවූ,බිහි වූ
බොඳවූ,බොඳ වූ
මතුවූ,මතු වූ
මනාවූ,මනා වූ
මහත්වූ,මහත් වූ
මාරුවූ,මාරු වූ
මැදිවූ,මැදි වූ
මැවූ,මැවූ
මුසුවූ,මුසු වූ
මෙහෙයවූ,මෙහෙය වූ
යන්නාවූ,යන්නා වූ
යහපත්වූ,යහපත් වූ
යැපෙන්නාවූ,යැපෙන්නා වූ
යැවූ,යැවූ
යුතුවූ,යුතු වූ
යෙදවූ,යෙද වූ
යෙදුණාවූ,යෙදුණා වූ
රඟදැක්වූ,රඟ දැක්වූ
රන්වන්වූ,රන්වන් වූ
රැස්වූ,රැස් වූ
ලක්වූ,ලක් වූ
ලබන්නාවූ,ලබන්නා වූ
ලාමකවූ,ලාමක වූ
ලියවූ,ලිය වූ
වටවූ,වට වූ
වඩින්නාවූ,වඩින්නා වූ
වන්නාවූ,වන්නා වූ
වැඩිවූ,වැඩි වූ
වැදගත්වූ,වැදගත් වූ
වැරගැන්වූ,වැරගැන් වූ
වැළැක්වූ,වැළැක් වූ
වූ,වූ
වෙනස්වූ,වෙනස් වූ
වෙන්වූ,වෙන් වූ
සංඛ්‍යාතවූ,සංඛ්‍යාත වූ
සංසිඳවූ,සංසිඳ වූ
සපයන්නාවූ,සපයන්නා වූ
සහාගිවූ,සහාගි වූ
සිටවූ,සිට වූ
සිටින්නාවූ,සිටින්නා වූ
සිදුවූ,සිදු වූ
සිඳුවූ,සිඳු වූ
සීමාවූ,සීමා වූ
සුළුවූ,සුළු වූ
සෙවූ,සෙවූ
හමුවූ,හමු වූ
හසුවූ,හසු වූ
හානිවූ,හානි වූ
හැඳින්වූ,හැඳින් වූ
හැසිරෙන්නාවූ,හැසිරෙන්නා වූ
හිමිවූ,හිමි වූ
හුදකලාවූ,හුදකලා වූ
හුරුවූ,හුරු වූ
හෙබවූ,හෙබ වූ
හෙළිවූ,හෙළි වූ
හේතුවූ,හේතු වූ
හොඳවූ,හොඳ වූ
ළඟින්වූ,ළඟින් වූ
