original,first,second,correction
අඩවිය නේ,අඩවිය,නේ,අඩවිය නේ
අඩුයි නේ,අඩුයි,නේ,අඩුයි නේ
අසාධාරණයක් නේ,අසාධාරණයක්,නේ,අසාධාරණයක් නේ
ඇති නේ,ඇති,නේ,ඇති නේ
ඇහැකි නේ,ඇහැකි,නේ,ඇහැකි නේ
ඉන්දියාවෙන් නේ,ඉන්දියාවෙන්,නේ,ඉන්දියාවෙන් නේ
ඉන්නව නේ,ඉන්නව,නේ,ඉන්නව නේ
ඉන්නවා නේ,ඉන්නවා,නේ,ඉන්නවා නේ
එක නේ,එක,නේ,එකනේ
එකට නේ,එකට,නේ,එකටනේ
එක්කෙනා නේ,එක්කෙනා,නේ,එක්කෙනානේ
ඒක නේ,ඒක,නේ,ඒකනේ
ඕනා නේ,ඕනා,නේ,ඕනා නේ
කණ්ණාඩියේ නේ,කණ්ණාඩියේ,නේ,කණ්ණාඩියේ නේ
කථාවක් නේ,කථාවක්,නේ,කථාවක් නේ
කරමු නේ,කරමු,නේ,කරමු නේ
කලාකාරයො නේ,කලාකාරයො,නේ,කලාකාරයො නේ
ක්‍රම නේ,ක්‍රම,නේ,ක්‍රම නේ
කාලෙකින් නේ,කාලෙකින්,නේ,කාලෙකින් නේ
කියනවා නේ,කියනවා,නේ,කියනවා නේ
කියලා නේ,කියලා,නේ,කියලා නේ
කිරිමක් නේ,කිරිමක්,නේ,කිරිමක් නේ
කිව්වා නේ,කිව්වා,නේ,කිව්වා නේ
කිවුව නේ,කිවුව,නේ,කිව්වා නේ
ගන්නවා නේ,ගන්නවා,නේ,ගන්නවා නේ
ගුරුවරයෙක් නේ,ගුරුවරයෙක්,නේ,ගුරුවරයෙක් නේ
චරිතයයි නේ,චරිතයයි,නේ,චරිතයයි නේ
තිබුණා නේ,තිබුණා,නේ,තිබුණා නේ
තියෙනවා නේ,තියෙනවා,නේ,තියෙනවා නේ
දීලා නේ,දීලා,නේ,දීලා නේ
දුන්න නේ,දුන්න,නේ,දුන්න නේ
දෙනවා නේ,දෙනවා,නේ,දෙනවා නේ
දෙමව්පියන්ට නේ,දෙමව්පියන්ට,නේ,දෙමව්පියන්ට නේ
දෙයක් නේ,දෙයක්,නේ,දෙයක් නේ
දේකට නේ,දේකට,නේ,දේකට නේ
දේවල් නේ,දේවල්,නේ,දේවල් නේ
නලුවෙක් නේ,නලුවෙක්,නේ,නලුවෙක් නේ
නැ නේ,නැ,නේ,නෑනේ
නැහැ නේ,නැහැ,නේ,නැහැ නේ
නෑ නේ,නෑ,නේ,නෑ නේ
නෙමෙයි නේ,නෙමෙයි,නේ,නෙමෙයි නේ
නෙවෙයි නේ,නෙවෙයි,නේ,නෙවෙයි නේ
පම්පෝරිය නේ,පම්පෝරිය,නේ,පම්පෝරිය නේ
පුලුවන් නේ,පුලුවන්,නේ,පුලුවන්නේ
පුස්තකාලෙන් නේ,පුස්තකාලෙන්,නේ,පුස්තකාලෙන්නේ
පෙරලන්න නේ,පෙරලන්න,නේ,පෙරලන්න නේ
බලනවා නේ,බලනවා,නේ,බලනවා නේ
බලමු නේ,බලමු,නේ,බලමු නේ
බලමුකෝ නේ,බලමුකෝ,නේ,බලමුකෝ නේ
බලාගෙන නේ,බලාගෙන,නේ,බලාගෙන නේ
බැ නේ,බැ,නේ,බෑනේ
බැහැ නේ,බැහැ,නේ,බැහැ නේ
බෑ නේ,බෑ,නේ,බෑනේ
මාරයි නේ,මාරයි,නේ,මාරයි නේ
මුල නේ,මුල,නේ,මුල නේ
වගේ නේ,වගේ,නේ,වගේ නේ
වචනයක් නේ,වචනයක්,නේ,වචනයක් නේ
වාගේ නේ,වාගේ,නේ,වාගේ නේ
වැඩක් නේ,වැඩක්,නේ,වැඩක් නේ
විතරයි නේ,විතරයි,නේ,විතරයි නේ
වුනා නේ,වුනා,නේ,වුනා නේ
වෙනව නේ,වෙනව,නේ,වෙනව නේ
වෙනස් නේ,වෙනස්,නේ,වෙනස් නේ
වෙන්න නේ,වෙන්න,නේ,වෙන්න නේ
වෙන්නැති නේ,වෙන්නැති,නේ,වෙන්නැති නේ
වෙලා නේ,වෙලා,නේ,වෙලා නේ
සරලයි නේ,සරලයි,නේ,සරලයි නේ
හරක් නේ,හරක්,නේ,හරක් නේ
හරි නේ,හරි,නේ,හරි නේ
හෑකියි නේ,හෑකියි,නේ,හැකියි නේ
හිතනවා නේ,හිතනවා,නේ,හිතනවා නේ
