original,correction
අංකය,අංකය
අංකුරය,අංකුරය
අංකෙළිය,අංකෙළිය
අංගය,අංගය
අංශය,අංශය
අංශුමය,අංශුමය
අකමැතිය,අකමැති ය
අකමැතිවිය,අකමැති විය
අකර්මණ්‍ය,අකර්මණ්‍ය
අක්ෂය,අක්ෂය
අක්‍රිය,අක්‍රිය
අක්‍රීය,අක්‍රීය
අකාරය,ආකාරය
අකුශලය,අකුශලය
අකුසලය,අකුසලය
අඛිලය,අඛිල ය
අගතිය,අගතිය
අගතුමිය,අගතුමිය
අගනගරය,අගනගරය
අගනේය,අගනේ ය
අගමැතිවරිය,අගමැතිවරිය
අගය,අගය
අගරාය,අගරාය
අගවිනිසුරුවරිය,අගවිනිසුරුවරිය
අග්නිදාහය,අග්නිදාහය
අග්නිය,අග්නිය
අග්‍රගණ්‍ය,අග්‍රගණ්‍ය
අග්‍රගන්‍ය,අග්‍රගණ්‍ය
අග්‍රඵලය,අග්‍රඵලය
අග්‍රවේශය,අග්‍රවේශය
අග්‍රාමාත්‍ය,අග්‍රාමාත්‍ය
අග්‍රාමාත්‍යධුරය,අග්‍රාමාත්‍ය ධුරය
අචින්ත්‍ය,අචින්ත්‍ය
අජානීය,අජානීය
අටමස්ථානය,අටමස්ථානය
අටසිය,අටසිය
අඩංගුය,අඩංගු ය
අඩවිය,අඩවිය
අඩස්සිය,අඩස්සිය
අඩිය,අඩිය
අණාවරණය,අනාවරණය
අතගැසුවේය,අතගැසුවේ ය
අතපය,අතපය
අතරය,අතර ය
අතරේමය,අතරේ ම ය
අතහරිනවය,අතහරිනවය
අතහැරිය,අතහැරිය
අත්අඩංගුවේය,අත්අඩංගුවේ ය
අත්දැකිය,අත්දැකිය
අත්විය,අත් විය
අත්‍යවශ්‍ය,අත්‍යවශ්‍ය
අත්‍යවශ්‍යය,අත්‍යවශ්‍ය ය
අත්‍යාවශය,අත්‍යවශ්‍ය ය
අත්‍යාවශ්‍ය,අත්‍යවශ්‍ය
අත්‍යාවශ්‍යමය,අත්‍යවශ්‍ය ම ය
අත්‍යාවශ්‍යය,අත්‍යවශ්‍ය ය
අතැතිවය,අතැති ව ය
අතෑරිය,අතෑරියා
අතික්‍රමණය,අතික්‍රමණය
අතික්‍රමනය,අතික්‍රමණය
අතිපුජනීය,අතිපූජනීය
අතිපූජ්‍ය,අතිපූජ්‍ය
අතිවිශාලය,අතිවිශාල ය
අතිශය,අතිශය
අතිශයෝක්තිය,අතිශයෝක්තිය
අතිසම්භාවනීය,අතිසම්භාවනීය
අතීතය,අතීතය
අතුරුගිරිය,අතුරුගිරිය
අතෘප්තිය,අතෘප්තිය
අතේය,අතේ ය
අදටය,අදට ය
අදත්තාදානය,අදත්තාදානය
අදරය,ආදරය
අද්භුතය,අද්භුත ය
අද්විතීය,අද්විතීය
අද්‍යතනය,අද්‍යතන ය
අදාලය,අදාළ ය
අදාළය,අදාළ ය
අදීක්ෂණය,අධීක්ෂණය
අධර්මය,අධර්මය
අධ්‍යක්ෂණය,අධ්‍යක්ෂණය
අධ්‍යක්ෂනය,අධ්‍යක්ෂණය
අධ්‍යනය,අධ්‍යයනය
අධ්‍යයනය,අධ්‍යයනය
අධ්‍යාත්මය,අධ්‍යාත්මය
අධ්‍යාපනය,අධ්‍යාපනය
අධිකය,අධික ය
අධිකරණමය,අධිකරණමය
අධිකරණය,අධිකරණය
අධිකාරය,අධිකාරය
