original,correction
අකුරැස්සේ,අකුරැස්සේ
අදහසේ,අදහසේ
අස්සේ,අස්සේ
අහසේ,අහසේ
ආකාසේ,ආකාසේ
ඇසේ,ඇසේ
ඉතිහාසේ,ඉතිහාසේ
ඉන්පස්සේ,ඉන්පස්සේ
ඉස්සේ,ඉස්සේ
ඊටපස්සේ,ඊටපස්සේ
උන්නාන්සේ,උන්නාන්සේ
උන්වන්සේ,උන්වහන්සේ
උන්වහන්සේ,උන්වහන්සේ
උන්වහන්්සේ,උන්වහන්සේ
උපසිරසේ,උපසිරසේ
උළුවස්සේ,උළුවස්සේ
ඌවවෙල්ලස්සේ,ඌව වෙල්ලස්සේ
එකසේ,එක සේ
එක්වූවාසේ,එක් වූවා සේ
එසේ,එසේ
ඔබවහන්සේ,ඔබවහන්සේ
ඔස්සේ,ඔස්සේ
කුරුසේ,කුරුසේ
කුසේ,කුසේ
කෙසේ,කෙසේ
කොටසේ,කොටසේ
ගසේ,ගසේ
ගැවසේ,ගැවසේ
ගැසේ,ගැසේ
ගුරුන්නාන්සේ,ගුරුන්නාන්සේ
තමුන්නාන්සේ,තමුන්නාන්සේ
තමුසේ,තමුසේ
තිස්සේ,තිස්සේ
දවසේ,දවසේ
දුකසේ,දුක සේ
දෙවියන්වහන්සේ,දෙවියන්වහන්සේ
නිදහසේ,නිදහසේ
නිවසේ,නිවසේ
නිවෙසේ,නිවසේ
නිසිසේ,නිසි සේ
පරකාසේ,පරකාසේ
පවානිදහසේ,පවා නිදහසේ
පස්සේ,පස්සේ
පසේ,පසේ
පැවසේ,පැවසේ
පැවැසේ,පැවසේ
පිටිපස්සේ,පිටිපස්සේ
පිටුපස්සේ,පිටුපස්සේ
පියස්සේ,පියස්සේ
පිරිසේ,පිරිසේ
පුද්ගලයෙකුසේ,පුද්ගලයෙකු සේ
පෙදෙසේ,පෙදෙසේ
පොත්වහන්සේ,පොත් වහන්සේ
බැස්සේ,බැස්සේ
බුදුන්වහන්සේ,බුදුන් වහන්සේ
බුදුරජනන්වහසේ,බුදුරජාණන් වහන්සේ
බුදුරජාණන්වහන්සේ,බුදුරජාණන් වහන්සේ
බෝගසේ,බෝ ගසේ
බෝධීන්වහන්සේ,බෝධීන් වහන්සේ
භික්ෂූන්වහන්සේ,භික්ෂූන් වහන්සේ
මනසේ,මනසේ
මනාසේ,මනා සේ
මනැසේ,මනසේ
මහත්සේ,මහත් සේ
මාසේ,මාසේ
මුණගැසේ,මුණගැසේ
මෙසේ,මෙසේ
මේකොටසේ,මේ කොටසේ
යම්සේ,යම් සේ
යහපත්සේ,යහපත් සේ
රසේ,රසේ
රහසේ,රහසේ
වයසේ,වයසේ
වහණ්සේ,වහන්සේ
වහන්සේ,වහන්සේ
වහ්නසේ,වහන්සේ
වැස්සේ,වැස්සේ
විශ්වාසේ,විශ්වාසේ
වෙල්ලස්සේ,වෙල්ලස්සේ
සමසේ,සම සේ
ස්වාමින්වහන්සේ,ස්වාමින් වහන්සේ
සැකසේ,සැක සේ
සැපසේ,සැප සේ
සැලසේ,සැලසේ
සැලැසේ,සැලසේ
සිනාසේ,සිනාසේ
සියවසේ,සියවසේ
සිරසේ,සිරසේ
සුවසේ,සුවසේ
සේ,සේ
හිසේ,හිසේ
