original,correction
ඒ,ඒ
ඒඕනෑම,ඒ ඕනෑම
ඒක,ඒක
ඒකඑකේ,ඒක එකේ
ඒකක,ඒකක
ඒකකය,ඒකකය
ඒකකයක,ඒකකයක
ඒකකයක්,ඒකකයක්
ඒකකයට,ඒකකයට
ඒකකයේ,ඒකකයේ
ඒකකරල,ඒක කරලා
ඒකකවල,ඒකකවල
ඒකක්,ඒකක්
ඒකගෙ,ඒකගෙ
ඒකගේ,ඒකගේ
ඒකචරං,ඒකචරං
ඒකට,ඒකට
ඒකටත්,ඒකටත්
ඒකටනම්,ඒකට නම්
ඒකටනේ,ඒකටනේ
ඒකටම,ඒකටම
ඒකටයි,ඒකටයි
ඒකටවත්,ඒකටවත්
ඒකත්,ඒකත්
ඒකත්වය,ඒකත්වය
ඒකතාව,ඒ කතාව
ඒකද,ඒක ද
ඒකනං,ඒක නං
ඒකනම්,ඒක නම්
ඒකනායක,ඒකනායක
ඒකනායකගේ,ඒකනායකගේ
ඒකනිසා,ඒක නිසා
ඒකනෙ,ඒකනෙ
ඒකනේ,ඒකනේ
ඒකපාර්ශවීය,ඒකපාර්ශවීය
ඒකපිටින්,ඒක පිටින්
ඒකපුද්ගල,ඒකපුද්ගල
ඒකම,ඒකම
ඒකමතික,ඒකමතික
ඒකමතිකව,ඒකමතික ව
ඒකමනෙ,ඒකමනෙ
ඒකමයි,ඒකමයි
ඒකමෙතනින්හොය,ඒක මෙතනින් හොයා
ඒකය,ඒකය
ඒකයානය,ඒක යානය
ඒකයි,ඒකයි
ඒකරාශි,ඒකරාශී
ඒකරාශී,ඒකරාශී
ඒකල,ඒ කළ
ඒකව,ඒකව
ඒකවත්,ඒකවත්
ඒක්කෝ,එක්කො
ඒකා,ඒකා
ඒකාංගික,ඒකාංගික
ඒකාකාරී,ඒකාකාරී
ඒකාග්‍රතාව,ඒකාග්‍රතාව
ඒකාග්‍රතාවටත්,ඒකාග්‍රතාවටත්
ඒකාග්‍රව,ඒකාග්‍ර ව
ඒකාට,ඒකාට
ඒකාත්මික,ඒකාත්මික
ඒකාදසක,ඒකාදසක
ඒකාධිකාරය,ඒකාධිකාරය
ඒකාධිකාරයෙන්,ඒකාධිකාරයෙන්
ඒකාධිකාරිය,ඒකාධිකාරය
ඒකාධිපති,ඒකාධිපති
ඒකාධිපතිය,ඒකාධිපතිය
ඒකාධිපතියන්ව,ඒකාධිපතියන්ව
ඒකාධිපතියෙක්,ඒකාධිපතියෙක්
ඒකාන්ත,ඒකාන්ත
ඒකාන්තය,ඒකාන්තය
ඒකාන්තයෙන්,ඒකාන්තයෙන්
ඒකාන්තයෙන්ම,ඒකාන්තයෙන්ම
ඒකාන්තර,ඒකාන්තර
ඒකාබද්ධ,ඒකාබද්ධ
ඒකායන,ඒකායන
ඒකාලෙ,ඒ කාලෙ
ඒකාලේ,ඒ කාලේ
ඒකාලෝක,ඒකාලෝක
ඒකි,ඒකි
ඒකිට,ඒකිට
ඒකිත්,ඒකිත්
ඒකී,ඒ කී
ඒකීය,ඒකීය
ඒකීයභාවයට,ඒකීයභාවයට
ඒකෙ,ඒකෙ
ඒකෙං,ඒකෙං
ඒකෙත්,ඒකෙත්
ඒකෙදි,ඒකෙදි
ඒකෙදී,ඒකෙ දී
ඒකෙනම්,ඒකෙ නම්
ඒකෙන්,ඒකෙන්
ඒකෙන්ම,ඒකෙන්ම
ඒකෙනුත්,ඒකෙනුත්
ඒකේ,ඒකේ
ඒකේන්,ඒකෙන්
ඒගමන,ඒ ගමන
ඒගොල්ල,ඒගොල්ල
ඒගොල්ලත්,ඒගොල්ලත්
ඒගොල්ලන්ගෙ,ඒගොල්ලන්ගෙ
ඒගොල්ලන්ගේ,ඒගොල්ලන්ගේ
ඒගොල්ලන්ට,ඒගොල්ලන්ට
ඒගොල්ලන්නට,ඒගොල්ලන්නට
ඒගොල්ලන්ව,ඒගොල්ලන්ව
ඒගොල්ලේ,ඒගොල්ලේ
ඒගොල්ලො,ඒගොල්ලො
ඒගොල්ලෝ,ඒගොල්ලෝ
ඒඞ්ස්,ඒඞ්ස්
ඒඡන්ද,ඒ ඡන්දෙ
ඒජන්ට්,ඒජන්ට්
ඒජන්ත,ඒජන්ත
ඒජන්තවරයා,ඒජන්තවරයා
ඒජන්තවරයෙක්,ඒජන්තවරයෙක්
ඒජන්සි,ඒජන්සි
ඒඩ්ස්,ඒඩ්ස්
ඒත,ඒත්
ඒතන,එතන
ඒතනින්,එතනින්
ඒතරං,ඒ තරං
ඒතරම්ම,ඒ තරම්ම
ඒත්,ඒත්
ඒත්ඔබතුමා,ඒත් ඔබතුමා
ඒත්තිස්ස,ඒත් තිස්ස
ඒත්තු,ඒත්තු
ඒතුල,ඒ තුළ
ඒතෙ,ඒතෙ
ඒදහම්,ඒ දහම්
ඒදා,එදා
ඒදින,එදින
ඒදෙස,ඒ දෙස
ඒනං,ඒ නං
ඒනිසා,ඒ නිසා
ඒනිසාම,ඒ නිසාම
ඒපාර,ඒ පාර
ඒබව,ඒ බව
ඒබ්‍රහම්,ඒබ්‍රහම්
ඒබ්‍රාම්ස්ගේ,ඒබ්‍රාම්ස්ගේ
ඒම,ඒම
ඒමට,ඒමට
ඒමටද,ඒමට ද
ඒමත්,ඒමත්
ඒමය,ඒම ය
ඒමයි,ඒම යි
ඒමෙන්,ඒමෙන්
ඒමේදී,ඒමේ දී
ඒය,ඒය
ඒයා,එයා
ඒයි,ඒයි
ඒයින්,එයින්
ඒරකපත්‍ර,ඒරකපත්‍ර
ඒරියල්,ඒරියල්
ඒරියා,ඒරියා
ඒරොප්පේ,ඒරොප්පේ
ඒල,එල
ඒලකිරි,එළකිරි
ඒලෙවල්,ඒ ලෙවල්
ඒව,ඒවා
ඒවංමේසුතං,ඒවං මේ සුතං
ඒවගෙ,ඒ වගේ
ඒවගෙත්,ඒවගෙත්
ඒවගෙන්,ඒවගෙන්
ඒවගෙම,ඒ වගෙම
ඒවගේ,ඒ වගේ
ඒවගේම,ඒ වගේම
ඒවට,ඒවට
ඒවටත්,ඒවටත්
ඒවත්,ඒවත්
ඒවන,ඒ වන
ඒවනවිට,ඒ වනවිට
ඒවනෙ,ඒවනෙ
ඒවම,ඒවම
ඒවයන්,ඒවයින්
ඒවයින්,ඒවයින්
ඒවයෙ,ඒවයෙ
ඒවයෙත්,ඒවයෙත්
ඒවයෙන්,ඒවයෙන්
ඒවයේ,ඒවයේ
ඒවල,ඒවල
ඒව්වර,එච්චර
ඒවා,ඒවා
ඒවාගේ,ඒ වාගේ
ඒවාගේම,ඒ වාගේම
ඒවාට,ඒවාට
ඒවාටත්,ඒවාටත්
ඒවාටදීලා,ඒවාට දීලා
ඒවාටම,ඒවාටම
ඒවාත්,ඒවාත්
ඒවාද,ඒවා ද
ඒවානම්,ඒවා නම්
ඒවාය,ඒවා ය
ඒවායි,ඒවා යි
ඒවායින්,ඒවායින්
ඒවායෙත්,ඒවායෙත්
ඒවායෙන්,ඒවායෙන්
ඒවායෙහි,ඒවායෙහි
ඒවායේ,ඒවායේ
ඒවාවලින්,ඒවාවලින්
ඒවාහිදී,ඒවාහි දී
ඒවි,ඒවි
ඒවිතරක්,ඒ විතරක්
ඒවිද,ඒවි ද
ඒවිදියට,ඒ විදියට
ඒවුණත්,ඒ වුණත්
ඒවුණාට,ඒ වුණාට
ඒවුනත්,ඒ වුණත්
