original,first,second,correction
නා ගත්ත,නා,ගත්ත,නා ගත්ත
නා ගන,නා,ගන,නා ගන
නා ගස්,නා,ගස්,නා ගස්
නා දලු,නා,දලු,නා දලු
නා නා,නා,නා,නා නා
නා බෝධිය,නා,බෝධිය,නා බෝධිය
නා රජ,නා,රජ,නා රජ
නා රජවරු,නා,රජවරු,නා රජවරු
නා රජු,නා,රජු,නා රජු
නා රජුගේ,නා,රජුගේ,නා රජුගේ
නා රජුට,නා,රජුට,නා රජුට
නා ලොව,නා,ලොව,නා ලොව
නා ලොවට,නා,ලොවට,නා ලොවට
නා විද,නා,විද,නා විද
නා විෂයන්,නා,විෂයන්,නා විෂයන්
නා විසිතුරු,නා,විසිතුරු,නා විසිතුරු
නා සාහිත්‍ය,නා,සාහිත්‍ය,නා සාහිත්‍ය
නා හිමි,නා,හිමි,නා හිමි
නා හිමියන්,නා,හිමියන්,නා හිමියන්
නා හිමියන්ගේ,නා,හිමියන්ගේ,නා හිමියන්ගේ
නා හිමියන්ට,නා,හිමියන්ට,නා හිමියන්ට
නා හිමියෝ,නා,හිමියෝ,නා හිමියෝ
නා හිමියෝද,නා,හිමියෝද,නා හිමියෝ ද
නා හිමිවරුන්,නා,හිමිවරුන්,නා හිමිවරුන්
