original,correction
යා,යා
යාකරන,යා කරන
යාකලාම,යා කළාම
යාග,යාග
යාගත,යාගත
යාගය,යාගය
යාගයක්,යාගයක්
යාගයට,යාගයට
යාගොඩ,යාගොඩ
යාචක,යාචක
යාචකයන්ට,යාචකයන්ට
යාචකයින්,යාචකයින්
යාච්ඤාවේදී,යාච්ඤාවේදී
යාච්ඥා,යාච්ඤා
යාඤා,යාච්ඤා
යාඥා,යාච්ඤා
යාඥාවෙන්,යාච්ඤාවෙන්
යාත්‍රා,යාත්‍රා
යාත්‍රාකරන,යාත්‍රා කරන
යාත්‍රාව,යාත්‍රාව
යාත්‍රාවකට,යාත්‍රාවකට
යාත්‍රිකයා,යාත්‍රිකයා
යාතිකා,යාතිකා
යාන,යාන
යානදී,යනාදී
යානය,යානය
යානයක,යානයක
යානයකහෙවත්,යානයක හෙවත්
යානයක්,යානයක්
යානයකින්,යානයකින්
යානයට,යානයට
යානයෙන්,යානයෙන්
යානයේ,යානයේ
යානවාහන,යානවාහන
යානවාහනාදී,යානවාහනාදී
යාන්ඔය,යාන්ඔය
යාන්තන්,යාන්තන්
යාන්තමට,යාන්තමට
යාන්තම්,යාන්තම්
යාන්තමින්,යාන්තමින්
යාන්ත්‍රණය,යාන්ත්‍රණය
යාන්ත්‍රණයක්,යාන්ත්‍රණයක්
යාන්ත්‍රනයයි,යාන්ත්‍රණයයි
යාන්ත්‍රික,යාන්ත්‍රික
යාන්ත්‍රීකරණය,යාන්ත්‍රීකරණය
යානා,යානා
යානාව,යානාව
යානාවට,යානාවට
යානාවල,යානාවල
යානාවලින්,යානාවලින්
යානෙ,යානෙ
යානොදී,යානොදී
යාපන,යාපන
යාපනය,යාපනය
යාපනයට,යාපනයට
යාපනයෙ,යාපනයෙ
යාපනයේ,යාපනයේ
යාපනේ,යාපනේ
යාපනේට,යාපනේට
යාපහුව,යාපහුව
යාපා,යාපා
යාබද,යාබද
යාබදව,යාබදව
යාම,යාම
යාමකට,යාමකට
යාමක්,යාමක්
යාමකි,යාමකි
යාමට,යාමට
යාමටත්,යාමටත්
යාමටද,යාමට ද
යාමටය,යාමට ය
යාමටවත්,යාමටවත්
යාමත්,යාමත්
යාමම,යාමම
යාමය,යාමය
යාමයි,යාමයි
යාමයෙහි,යාමයෙහි
යාමයේ,යාමයේ
යාමෙන්,යාමෙන්
යාමෙනි,යාමෙනි
යාමේ,යාමේ
යාමේකම්පාවද,යාමේ කම්පාව ද
යාමේකාර්යය,යාමේ කාර්යය
යාමේදී,යාමේ දී
යාය,යාය
යායක්,යායක්
යායුතු,යා යුතු
යායුතුය,යා යුතුය
යායුතුයි,යා යුතුයි
යායුතුවේ,යා යුතු වේ
යාල,යාල
යාලට,යාලට
යාලු,යාළු
යාලුව,යාළුව
යාලුවට,යාළුවට
යාලුවන්ගෙ,යාළුවන්ගෙ
යාලුවන්ගේ,යාළුවන්ගේ
යාලුවන්ට,යාළුවන්ට
යාලුවනේ,යාළුවනේ
යාලුවම,යාළුවම
යාලුවා,යාළුවා
යාලුවෙක්,යාළුවෙක්
යාලුවෙක්ට,යාළුවෙක්ට
යාලුවෙක්නෙ,යාළුවෙක්නෙ
යාලුවෙකුගෙන්,යාළුවෙකුගෙන්
යාලුවෙකුගේ,යාළුවෙකුගේ
යාලුවෙකුට,යාළුවෙකුට
යාලුවො,යාළුවො
යාලුවෝ,යාළුවෝ
යාලූවෝ,යාළුවෝ
යාවජීව,යාවජීව
යාවත්කාල,යාවත්කාල
යාවත්කාලින,යාවත්කාලීන
යාවි,යාවි
යාවිද,යාවි ද
යාවී,යාවි
යාවෙන,යාවෙන
යාහැකි,යා හැකි
යාළු,යාළු
යාළුකම,යාළුකම
යාළුවකු,යාළුවකු
යාළුවකුගෙන්,යාළුවකුගෙන්
යාළුවගෙ,යාළුවගෙ
යාළුවගේ,යාළුවගේ
යාළුවටයි,යාළුවටයි
යාළුවත්,යාළුවත්
යාළුවන්,යාළුවන්
යාළුවන්ගෙන්,යාළුවන්ගෙන්
යාළුවනේ,යාළුවනේ
යාළුවනේසේවය,යාළුවනේ සේවය
යාළුවා,යාළුවා
යාළුවාට,යාළුවාට
යාළුවාටම,යාළුවාටම
යාළුවෙක්,යාළුවෙක්
යාළුවෙක්ට,යාළුවෙක්ට
යාළුවෙක්වත්,යාළුවෙක්වත්
යාළුවෙකුගේ,යාළුවෙකුගේ
යාළුවෙකුත්,යාළුවෙකුත්
යාළුවෙන්න,යාළුවෙන්න
යාළුවෙන්නෙ,යාළුවෙන්නෙ
යාළුවෙයි,යාළුවෙයි
යාළුවෙලා,යාළුවෙලා
යාළුවො,යාළුවො
යාළුවොත්,යාළුවොත්
යාළුවොන්ට,යාළුවොන්ට
යාළුවෝ,යාළුවෝ
