original,first,second,correction
අංක වලින්,අංක,වලින්,අංකවලින්
අකුරු වලින්,අකුරු,වලින්,අකුරුවලින්
අකුසල් වලින්,අකුසල්,වලින්,අකුසල්වලින්
අඩි වලින්,අඩි,වලින්,අඩිවලින්
අත් වලින්,අත්,වලින්,අත්වලින්
අත්දැකීම් වලින්,අත්දැකීම්,වලින්,අත්දැකීම්වලින්
අතු වලින්,අතු,වලින්,අතුවලින්
අදහස් වලින්,අදහස්,වලින්,අදහස්වලින්
අධ්‍යන වලින්,අධ්‍යන,වලින්,අධ්‍යනවලින්
අධිකරණ වලින්,අධිකරණ,වලින්,අධිකරණවලින්
අනතුරු වලින්,අනතුරු,වලින්,අනතුරුවලින්
අභියෝග වලින්,අභියෝග,වලින්,අභියෝගවලින්
අරමුණු වලින්,අරමුණු,වලින්,අරමුණුවලින්
අලංකාර වලින්,අලංකාර,වලින්,අලංකාරවලින්
අවි වලින්,අවි,වලින්,අවිවලින්
අවුරුදු වලින්,අවුරුදු,වලින්,අවුරුදුවලින්
අහර වලින්,අහර,වලින්,ආහාරවලින්
අළු වලින්,අළු,වලින්,අළුවලින්
ආණ්ඩු වලින්,ආණ්ඩු,වලින්,ආණ්ඩුවලින්
ආයතන වලින්,ආයතන,වලින්,ආයතනවලින්
ආයුද වලින්,ආයුද,වලින්,ආයුදවලින්
ආයුධ වලින්,ආයුධ,වලින්,ආයුධවලින්
ආරාම වලින්,ආරාම,වලින්,ආරාමවලින්
ආශ්‍රව වලින්,ආශ්‍රව,වලින්,ආශ්‍රවවලින්
ආහාර වලින්,ආහාර,වලින්,ආහාරවලින්
ඇගිලි වලින්,ඇගිලි,වලින්,ඇගිලිවලින්
ඇට වලින්,ඇට,වලින්,ඇටවලින්
ඇඩ් වලින්,ඇඩ්,වලින්,ඇඩ්වලින්
ඇඳුම් වලින්,ඇඳුම්,වලින්,ඇඳුම්වලින්
ඇලුමිනියම් වලින්,ඇලුමිනියම්,වලින්,ඇලුමිනියම්වලින්
ඉංග්‍රිසී වලින්,ඉංග්‍රිසී,වලින්,ඉංග්‍රිසීවලින්
ඉගැන්වීම් වලින්,ඉගැන්වීම්,වලින්,ඉගැන්වීම්වලින්
ඉරියව් වලින්,ඉරියව්,වලින්,ඉරියව්වලින්
ඉලක්කම් වලින්,ඉලක්කම්,වලින්,ඉලක්කම්වලින්
උත්තර වලින්,උත්තර,වලින්,උත්තරවලින්
උදාහරණ වලින්,උදාහරණ,වලින්,උදාහරණවලින්
උපද්‍රව වලින්,උපද්‍රව,වලින්,උපද්‍රවවලින්
උපමා වලින්,උපමා,වලින්,උපමාවලින්
උපසිරැසි වලින්,උපසිරැසි,වලින්,උපසිරැසිවලින්
කට වලින්,කට,වලින්,කටවලින්
කටයුතු වලින්,කටයුතු,වලින්,කටයුතුවලින්
කණ්නාඩි වලින්,කණ්නාඩි,වලින්,කණ්නාඩිවලින්
කතන්දර වලින්,කතන්දර,වලින්,කතන්දරවලින්
කතා වලින්,කතා,වලින්,කතාවලින්
කම් වලින්,කම්,වලින්,කම්වලින්
කමෙන්ට් වලින්,කමෙන්ට්,වලින්,කමෙන්ට්වලින්
කරදර වලින්,කරදර,වලින්,කරදරවලින්
කර්ම වලින්,කර්ම,වලින්,කර්මවලින්
කවි වලින්,කවි,වලින්,කවිවලින්
ක්‍රම වලින්,ක්‍රම,වලින්,ක්‍රමවලින්
කාරණා වලින්,කාරණා,වලින්,කාරණාවලින්
කාර්යාල වලින්,කාර්යාල,වලින්,කාර්යාලවලින්
කැපකිරීම් වලින්,කැපකිරීම්,වලින්,කැපකිරීම්වලින්
කැවිලි වලින්,කැවිලි,වලින්,කැවිලිවලින්
කැවුම් වලින්,කැවුම්,වලින්,කැවුම්වලින්
කිරි වලින්,කිරි,වලින්,කිරිවලින්
කිලෝමීටර් වලින්,කිලෝමීටර්,වලින්,කිලෝමීටර්වලින්
කුට්ටි වලින්,කුට්ටි,වලින්,කුට්ටිවලින්
කුණාටු වලින්,කුණාටු,වලින්,කුණාටුවලින්
කුසලතා වලින්,කුසලතා,වලින්,කුසලතාවලින්
කුහකකම් වලින්,කුහකකම්,වලින්,කුහකකම්වලින්
කුළුණු වලින්,කුළුණු,වලින්,කුළුණුවලින්
කූඩ වලින්,කූඩ,වලින්,කූඩවලින්
කූඩු වලින්,කූඩු,වලින්,කූඩුවලින්
කොටන් වලින්,කොටන්,වලින්,කොටන්වලින්
කොටස් වලින්,කොටස්,වලින්,කොටස්වලින්
කොන්දේසි වලින්,කොන්දේසි,වලින්,කොන්දේසිවලින්
කොහු වලින්,කොහු,වලින්,කොහුවලින්
ගණුදෙනු වලින්,ගණුදෙනු,වලින්,ගණුදෙනුවලින්
ගනන් වලින්,ගනන්,වලින්,ගනන්වලින්
ගම් වලින්,ගම්,වලින්,ගම්වලින්
ගස් වලින්,ගස්,වලින්,ගස්වලින්
ග්‍රන්ථ වලින්,ග්‍රන්ථ,වලින්,ග්‍රන්ථවලින්
ගාථා වලින්,ගාථා,වලින්,ගාථාවලින්
ගීත වලින්,ගීත,වලින්,ගීතවලින්
ගුණධර්ම වලින්,ගුණධර්ම,වලින්,ගුණධර්මවලින්
ගුණාංග වලින්,ගුණාංග,වලින්,ගුණාංගවලින්
ගූගල් වලින්,ගූගල්,වලින්,ගූගල්වලින්
ගෙවල් වලින්,ගෙවල්,වලින්,ගෙවල්වලින්
ගේට්ටු වලින්,ගේට්ටු,වලින්,ගේට්ටුවලින්
චෝදනා වලින්,චෝදනා,වලින්,චෝදනාවලින්
ජාන වලින්,ජාන,වලින්,ජානවලින්
ජාල වලින්,ජාල,වලින්,ජාලවලින්
ජීවිත වලින්,ජීවිත,වලින්,ජීවිතවලින්
ඩයිනමයිට් වලින්,ඩයිනමයිට්,වලින්,ඩයිනමයිට්වලින්
ඩොලර් වලින්,ඩොලර්,වලින්,ඩොලර්වලින්
තත්ත්පර වලින්,තත්ත්පර,වලින්,තත්ත්පරවලින්
තර්ක වලින්,තර්ක,වලින්,තර්කවලින්
තැන් වලින්,තැන්,වලින්,තැන්වලින්
තෙල් වලින්,තෙල්,වලින්,තෙල්වලින්
තොරතුරු වලින්,තොරතුරු,වලින්,තොරතුරුවලින්
දත්ත වලින්,දත්ත,වලින්,දත්තවලින්
දශක වලින්,දශක,වලින්,දශකවලින්
දහය වලින්,දහය,වලින්,දහයවලින්
දැව වලින්,දැව,වලින්,දැවවලින්
දුක් වලින්,දුක්,වලින්,දුක්වලින්
දුෂණ වලින්,දුෂණ,වලින්,දුෂණවලින්
දෘෂ්ටිවාද වලින්,දෘෂ්ටිවාද,වලින්,දෘෂ්ටිවාදවලින්
දෙනෙත් වලින්,දෙනෙත්,වලින්,දෙනෙත්වලින්
දෙවල් වලින්,දෙවල්,වලින්,දෙවල්වලින්
දේවල් වලින්,දේවල්,වලින්,දේවල්වලින්
දේශනා වලින්,දේශනා,වලින්,දේශනාවලින්
දොම්නස් වලින්,දොම්නස්,වලින්,දොම්නස්වලින්
ධර්ම වලින්,ධර්ම,වලින්,ධර්මවලින්
ධර්මෝපදේශ වලින්,ධර්මෝපදේශ,වලින්,ධර්මෝපදේශවලින්
ධ්‍යාන වලින්,ධ්‍යාන,වලින්,ධ්‍යානවලින්
ධාතු වලින්,ධාතු,වලින්,ධාතුවලින්
නගර වලින්,නගර,වලින්,නගරවලින්
නඩු වලින්,නඩු,වලින්,නඩුවලින්
නම් වලින්,නම්,වලින්,නම්වලින්
නාලිකා වලින්,නාලිකා,වලින්,නාලිකාවලින්
නිකාබ් වලින්,නිකාබ්,වලින්,නිකාබ්වලින්
නිර්මාණ වලින්,නිර්මාණ,වලින්,නිර්මාණවලින්
නිවෙස් වලින්,නිවෙස්,වලින්,නිවෙස්වලින්
නීති වලින්,නීති,වලින්,නීතිවලින්
නීතිරීති වලින්,නීතිරීති,වලින්,නීතිරීතිවලින්
පන්ති වලින්,පන්ති,වලින්,පන්තිවලින්
පන්දන් වලින්,පන්දන්,වලින්,පන්දන්වලින්
පන්සල් වලින්,පන්සල්,වලින්,පන්සල්වලින්
පර්යේෂණ වලින්,පර්යේෂණ,වලින්,පර්යේෂණවලින්
පරාල වලින්,පරාල,වලින්,පරාලවලින්
පලතුරු වලින්,පලතුරු,වලින්,පලතුරුවලින්
පල්ලි වලින්,පල්ලි,වලින්,පල්ලිවලින්
පව් වලින්,පව්,වලින්,පව්වලින්
ප්‍රකාශ වලින්,ප්‍රකාශ,වලින්,ප්‍රකාශවලින්
ප්‍රතිචාර වලින්,ප්‍රතිචාර,වලින්,ප්‍රතිචාරවලින්
ප්‍රදේශ වලින්,ප්‍රදේශ,වලින්,ප්‍රදේශවලින්
ප්‍රවාද වලින්,ප්‍රවාද,වලින්,ප්‍රවාදවලින්
ප්‍රශ්න වලින්,ප්‍රශ්න,වලින්,ප්‍රශ්නවලින්
ප්‍රහාර වලින්,ප්‍රහාර,වලින්,ප්‍රහාරවලින්
ප්‍රෝෆයිල් වලින්,ප්‍රෝෆයිල්,වලින්,ප්‍රෝෆයිල්වලින්
පාන වලින්,පාන,වලින්,පානවලින්
පාන්පිටි වලින්,පාන්පිටි,වලින්,පාන්පිටිවලින්
පාරවල් වලින්,පාරවල්,වලින්,පාරවල්වලින්
පාසැල් වලින්,පාසැල්,වලින්,පාසැල්වලින්
පැජරෝ වලින්,පැජරෝ,වලින්,පැජරෝවලින්
පැණි වලින්,පැණි,වලින්,පැණිවලින්
පැවතුම් වලින්,පැවතුම්,වලින්,පැවතුම්වලින්
පිටි වලින්,පිටි,වලින්,පිටිවලින්
පින් වලින්,පින්,වලින්,පින්වලින්
පිහාටු වලින්,පිහාටු,වලින්,පිහාටුවලින්
පිළිතුරු වලින්,පිළිතුරු,වලින්,පිළිතුරුවලින්
පිළිවෙත් වලින්,පිළිවෙත්,වලින්,පිළිවෙත්වලින්
පුදපඬුරු වලින්,පුදපඬුරු,වලින්,පුදපඬුරුවලින්
පුවත් වලින්,පුවත්,වලින්,පුවත්වලින්
පෙදෙස් වලින්,පෙදෙස්,වලින්,පෙදෙස්වලින්
පේන්ට් වලින්,පේන්ට්,වලින්,පේන්ට්වලින්
පොත් වලින්,පොත්,වලින්,පොත්වලින්
බඩු වලින්,බඩු,වලින්,බඩුවලින්
බන්ධන වලින්,බන්ධන,වලින්,බන්ධනවලින්
බ්ලොග් වලින්,බ්ලොග්,වලින්,බ්ලොග්වලින්
බැංකු වලින්,බැංකු,වලින්,බැංකුවලින්
බැඳීම් වලින්,බැඳීම්,වලින්,බැඳීම් ලින්
බැමි වලින්,බැමි,වලින්,බැමිවලින්
බෑන්ඩ් වලින්,බෑන්ඩ්,වලින්,බෑන්ඩ්වලින්
බිත්තර වලින්,බිත්තර,වලින්,බිත්තරවලින්
බිත්ති වලින්,බිත්ති,වලින්,බිත්තිවලින්
බිම් වලින්,බිම්,වලින්,බිම්වලින්
බිස්නස් වලින්,බිස්නස්,වලින්,බිස්නස්වලින්
බීජ වලින්,බීජ,වලින්,බීජවලින්
මංකොල්ලකෑම් වලින්,මංකොල්ලකෑම්,වලින්,මංකොල්ලකෑම්වලින්
මතිමතාන්තර වලින්,මතිමතාන්තර,වලින්,මතිමතාන්තරවලින්
මධ්‍යස්ථාන වලින්,මධ්‍යස්ථාන,වලින්,මධ්‍යස්ථානවලින්
මන්තර වලින්,මන්තර,වලින්,මන්තරවලින්
මරණ වලින්,මරණ,වලින්,මරණවලින්
මල් වලින්,මල්,වලින්,මල්වලින්
මාංශ වලින්,මාංශ,වලින්,මාංශවලින්
මාර්ග වලින්,මාර්ග,වලින්,මාර්ගවලින්
මැටි වලින්,මැටි,වලින්,මැටිවලින්
මැණික් වලින්,මැණික්,වලින්,මැණික්වලින්
මැත්ස් වලින්,මැත්ස්,වලින්,මැත්ස්වලින්
මුදල් වලින්,මුදල්,වලින්,මුදල්වලින්
මූලධර්ම වලින්,මූලධර්ම,වලින්,මූලධර්මවලින්
මෘදුකාංග වලින්,මෘදුකාංග,වලින්,මෘදුකාංගවලින්
මේකතා වලින්,මේකතා,වලින්,මේකතාවලින්
මේකරුණු වලින්,මේකරුණු,වලින්,මේකරුණුවලින්
රට වලින්,රට,වලින්,රටවලින්
රටවල් වලින්,රටවල්,වලින්,රටවල්වලින්
රථ වලින්,රථ,වලින්,රථවලින්
රා වලින්,රා,වලින්,රාවලින්
රාමු වලින්,රාමු,වලින්,රාමුවලින්
රැළි වලින්,රැළි,වලින්,රැළිවලින්
රිටි වලින්,රිටි,වලින්,රිටිවලින්
රුපියල් වලින්,රුපියල්,වලින්,රුපියල්වලින්
රෙදි වලින්,රෙදි,වලින්,රෙදිවලින්
රොටී වලින්,රොටී,වලින්,රොටීවලින්
රෝග වලින්,රෝග,වලින්,රෝගවලින්
ලක්ෂණ වලින්,ලක්ෂණ,වලින්,ලක්ෂණවලින්
ලකුණු වලින්,ලකුණු,වලින්,ලකුණුවලින්
ලිපි වලින්,ලිපි,වලින්,ලිපිවලින්
ලේ වලින්,ලේ,වලින්,ලේවලින්
ලෝදිය වලින්,ලෝදිය,වලින්,ලෝදියවලින්
වචන වලින්,වචන,වලින්,වචනවලින්
වතාවත් වලින්,වතාවත්,වලින්,වතාවත්වලින්
වතු වලින්,වතු,වලින්,වතුවලින්
වනාන්තර වලින්,වනාන්තර,වලින්,වනාන්තරවලින්
වයිරස් වලින්,වයිරස්,වලින්,වයිරස්වලින්
වර්ග වලින්,වර්ග,වලින්,වර්ගවලින්
වර්ෂ වලින්,වර්ෂ,වලින්,වර්ෂවලින්
වසර වලින්,වසර,වලින්,වසරවලින්
වස්තු වලින්,වස්තු,වලින්,වස්තුවලින්
ව්‍යාපාර වලින්,ව්‍යාපාර,වලින්,ව්‍යාපාරවලින්
ව්‍යාපෘති වලින්,ව්‍යාපෘති,වලින්,ව්‍යාපෘතිවලින්
වාසගම් වලින්,වාසගම්,වලින්,වාසගම්වලින්
වාහන වලින්,වාහන,වලින්,වාහනවලින්
වැඩ වලින්,වැඩ,වලින්,වැඩවලින්
වැඩසටහන් වලින්,වැඩසටහන්,වලින්,වැඩසටහන්වලින්
වැනිදා වලින්,වැනිදා,වලින්,වැනිදාවලින්
වැරදි වලින්,වැරදි,වලින්,වැරදිවලින්
වැරැදි වලින්,වැරැදි,වලින්,වැරැදිවලින්
වැව් වලින්,වැව්,වලින්,වැව්වලින්
වැසීම් වලින්,වැසීම්,වලින්,වැසීම්වලින්
වැසුම් වලින්,වැසුම්,වලින්,වැසුම්වලින්
විකාර වලින්,විකාර,වලින්,විකාරවලින්
විද්‍යාල වලින්,විද්‍යාල,වලින්,විද්‍යාලවලින්
විපත් වලින්,විපත්,වලින්,විපත්වලින්
විපාක වලින්,විපාක,වලින්,විපාකවලින්
වියදම් වලින්,වියදම්,වලින්,වියදම්වලින්
විලාප වලින්,විලාප,වලින්,විලාපවලින්
විවාහ වලින්,විවාහ,වලින්,විවාහවලින්
වූල් වලින්,වූල්,වලින්,වූල්වලින්
වෙනස්කම් වලින්,වෙනස්කම්,වලින්,වෙනස්කම්වලින්
වෙබ් වලින්,වෙබ්,වලින්,වෙබ්වලින්
වේවැල් වලින්,වේවැල්,වලින්,වේවැල්වලින්
ශිල්ප වලින්,ශිල්ප,වලින්,ශිල්පවලින්
ශිලාලිපි වලින්,ශිලාලිපි,වලින්,ශිලාලිපිවලින්
සටහන් වලින්,සටහන්,වලින්,සටහන්වලින්
සම්පත් වලින්,සම්පත්,වලින්,සම්පත්වලින්
සයිට් වලින්,සයිට්,වලින්,සයිට්වලින්
සල්ලි වලින්,සල්ලි,වලින්,සල්ලිවලින්
ස්ථාන වලින්,ස්ථාන,වලින්,ස්ථානවලින්
සාකච්ඡා වලින්,සාකච්ඡා,වලින්,සාකච්ඡාවලින්
සාකච්ජා වලින්,සාකච්ජා,වලින්,සාකච්ජාවලින්
සාටෝප වලින්,සාටෝප,වලින්,සාටෝපවලින්
සාරධර්ම වලින්,සාරධර්ම,වලින්,සාරධර්මවලින්
සැරසිලි වලින්,සැරසිලි,වලින්,සැරසිලිවලින්
සැලඩ් වලින්,සැලඩ්,වලින්,සැලඩ්වලින්
සිංග්ලිෂ් වලින්,සිංග්ලිෂ්,වලින්,සිංග්ලිෂ්වලින්
සිත්සතන් වලින්,සිත්සතන්,වලින්,සිත්සතන්වලින්
සිද්ධි වලින්,සිද්ධි,වලින්,සිද්ධිවලින්
සිදුවීම් වලින්,සිදුවීම්,වලින්,සිදුවීම්වලින්
සින්ඩි වලින්,සින්ඩි,වලින්,සින්ඩිවලින්
සෙක්ස් වලින්,සෙක්ස්,වලින්,සෙක්ස්වලින්
සේරම වලින්,සේරම,වලින්,සේරමවලින්
හමුදා වලින්,හමුදා,වලින්,හමුදාවලින්
හාස්කම් වලින්,හාස්කම්,වලින්,හාස්කම්වලින්
හැටන් වලින්,හැටන්,වලින්,හැටන්වලින්
හිට්ස් වලින්,හිට්ස්,වලින්,හිට්ස්වලින්
හිරිහැර වලින්,හිරිහැර,වලින්,හිරිහැරවලින්
හොලිවුඩ් වලින්,හොලිවුඩ්,වලින්,හොලිවුඩ්වලින්
ළිං වලින්,ළිං,වලින්,ළිංවලින්
ෆුකුසිමා වලින්,ෆුකුසිමා,වලින්,ෆුකුසිමාවලින්
