original,correction
අකුළුවන,අකුළුවන
අඟවන,අඟවන
අටවන,අටවන
අඩුවන,අඩු වන
අතපසුවන,අතපසු වන
අත්පත්වන,අත්පත් වන
අත්වන,අත් වන
අදවන,අද වන
අන්දවන,අන්දවන
අනාථවන,අනාථ වන
අපහසුවන,අපහසු වන
අයත්වන,අයත් වන
අලවන,අලවන
අවදිවන,අවදි වන
අවුලුවන,අවුලුවන
අස්වන,අස්වන
අසීරුවන,අසීරු වන
අසූවන,අසූවන
අහිමිවන,අහිමි වන
ඇතිකරවන,ඇති කරවන
ඇතිවන,ඇති වන
ඇතුල්වන,ඇතුල් වන
ඇතුළුවන,ඇතුළු වන
ඉක්මවන,ඉක්මවන
ඉටුවන,ඉටු වන
ඉතිරිවන,ඉතිරි වන
ඉදවන,ඉදවන
ඉදිකරවන,ඉදි කරවන
ඉදිරිපත්වන,ඉදිරිපත් වන
ඉදිවන,ඉදි වන
ඉල්වන,ඉල්වන
ඉවත්වන,ඉවත් වන
ඉවහල්වන,ඉවහල් වන
ඉස්මතුවන,ඉස්මතු වන
උගන්වන,උගන්වන
උණුවන,උණු වන
උදව්වන,උදව් වන
උදාවන,උදා වන
උපකාරවන,උපකාර වන
උපකාරීවන,උපකාරී වන
උපදවන,උපදවන
උරුමවන,උරුම වන
එකතුවන,එකතු වන
එක්වන,එක් වන
එකොළොස්වන,එකොළොස්වන
එල්ලවන,එල්ලවන
එවන,එවන
එළවන,එළවන
එළිවන,එළි වන
ඔබ්බවන,ඔබ්බවන
ඔසවන,ඔසවන
කඩවන,කඩවන
කරවන,කරවන
ක්‍රියාකාරීවන,ක්‍රියාකාරී වන
කැඳවන,කැඳවන
කියවන,කියවන
කොටවන,කොටවන
ගතවන,ගත වන
ගන්වන,ගන්වන
ගලවන,ගලවන
ගල්වන,ගල්වන
ගිල්වන,ගිල්වන
ගෙන්වන,ගෙන්වන
ගෙවන,ගෙවන
ගොඩනංවන,ගොඩනංවන
ගොදුරුවන,ගොදුරු වන
ජනිතවන,ජනිත වන
ජිවන,ජීවන
ජීවත්වන,ජීවත් වන
ජීවන,ජීවන
ජේතවන,ජේතවන
තනවන,තනවන
තවන,තවන
තුදුස්වන,තුදුස්වන
තුන්වන,තුන්වන
තෙවන,තෙවන
දක්වන,දක්වන
දනවන,දනවන
දන්වන,දන්වන
දල්වන,දල්වන
දවන,දවන
දහවන,දහවන
දාසයවන,දාසයවන
දාහතරවන,දාහතරවන
දිගාවන,දිගා වන
දිගුවන,දිගු වන
දියුණුවන,දියුණු වන
දිවිගෙවන,දිවි ගෙවන
දිස්වන,දිස්වන
දුරුකරවන,දුරු කරවන
දුවන,දුවන
දුවවන,දුවවන
දෙවන,දෙවන
දෙසවන,දෙසවන
දොලොස්වන,දොළොස්වන
දොළොස්වන,දොළොස්වන
ධාවන,ධාවන
නංවන,නංවන
නතුවන,නතු වන
නමවන,නමවන
නවත්වන,නවත්වන
නාවන,නාවන
නැතිවන,නැති වන
නැඹුරුවන,නැඹුරු වන
නිකුත්වන,නිකුත් වන
නිදහස්වන,නිදහස් වන
නිපදවන,නිපදවන
නිමවන,නිමවන
නිරතවන,නිරත වන
නිවන,නිවන
නුපුළුවන,නුපුළුවන
නුවන,නුවන
නෙවන,නෙවන
නොකියවන,නොකියවන
නොදක්වන,නොදක්වන
