original,first,second,correction
සහ අංක,සහ,අංක,සහ අංක
සහ අගමැතිතුමාට,සහ,අගමැතිතුමාට,සහ අගමැතිතුමාට
සහ අජාසත්ත,සහ,අජාසත්ත,සහ අජාසත්ත
සහ අජිත්,සහ,අජිත්,සහ අජිත්
සහ අඩු,සහ,අඩු,සහ අඩු
සහ අත්ථකිලමතානුයෝගයයි,සහ,අත්ථකිලමතානුයෝගයයි,සහ අත්ථකිලමතානු යෝගයයි
සහ අත්දැකීම්,සහ,අත්දැකීම්,සහ අත්දැකීම්
සහ අත්‍යන්තයෙන්,සහ,අත්‍යන්තයෙන්,සහ අත්‍යන්තයෙන්
සහ අතිශය,සහ,අතිශය,සහ අතිශය
සහ අතුරුසිදුරු,සහ,අතුරුසිදුරු,සහ අතුරුසිදුරු
සහ අද,සහ,අද,සහ අද
සහ අධ්‍යාත්මික,සහ,අධ්‍යාත්මික,සහ අධ්‍යාත්මික
සහ අධ්‍යාපනය,සහ,අධ්‍යාපනය,සහ අධ්‍යාපනය
සහ අධිපඤ්ඤා,සහ,අධිපඤ්ඤා,සහ අධිපඤ්ඤා
සහ අධීක්ෂණ,සහ,අධීක්ෂණ,සහ අධීක්ෂණ
සහ අනතුරු,සහ,අනතුරු,සහ අනතුරු
සහ අනවබෝධය,සහ,අනවබෝධය,සහ අනවබෝධය
සහ අන්කල්,සහ,අන්කල්,සහ අන්කල්
සහ අන්තර්ගතය,සහ,අන්තර්ගතය,සහ අන්තර්ගතය
සහ අනාගත,සහ,අනාගත,සහ අනාගත
සහ අනිත්,සහ,අනිත්,සහ අනිත්
සහ අනුකලනය,සහ,අනුකලනය,සහ අනුකලනය
සහ අනුශාසනා,සහ,අනුශාසනා,සහ අනුශාසනා
සහ අනෙක්,සහ,අනෙක්,සහ අනෙක්
සහ අනෙකා,සහ,අනෙකා,සහ අනෙකා
සහ අනෙකුත්,සහ,අනෙකුත්,සහ අනෙකුත්
සහ අපයෝජන,සහ,අපයෝජන,සහ අපයෝජන
සහ අපරාධමය,සහ,අපරාධමය,සහ අපරාධමය
සහ අපවම,සහ,අපවම,සහ අපව ම
සහ අප්‍රිය,සහ,අප්‍රිය,සහ අප්‍රිය
සහ අපි,සහ,අපි,සහ අපි
සහ අපේ,සහ,අපේ,සහ අපේ
සහ අභයගිරිය,සහ,අභයගිරිය,සහ අභයගිරිය
සහ අභිලාෂයන්,සහ,අභිලාෂයන්,සහ අභිලාෂයන්
සහ අයර්ලන්තයේ,සහ,අයර්ලන්තයේ,සහ අයර්ලන්තයේ
සහ අයිතිවාසිකම්,සහ,අයිතිවාසිකම්,සහ අයිතිවාසිකම්
