original,correction
අගනුවරදී,අගනුවර දී
අතරතුරදී,අතරතුර දී
අතරතුරේදී,අතරතුරේ දී
අතරමගදී,අතරමග දී
අතරමඟදී,අතරමඟ දී
අතරවාරයේදී,අතරවාරයේ දී
අතරේදී,අතරේ දී
අත්කරදී,අත්කර දී
අත්මෙකදී,අත්මෙක දී
අතීතයේදී,අතීතයේ දී
අදමාතරදී,අද මාතර දී
අදිද්දී,අදිද්දී
අදියරේදී,අදියරේ දී
අදිරාජ්‍යවාදී,අධිරාජ්‍යවාදී
අධ්‍යයනවේදී,අධ්‍යයනවේදී
අධ්‍යාපනයේදී,අධ්‍යාපනයේ දී
අධිකරණයේදී,අධිකරණයේ දී
අධිකාරවාදී,අධිකාරවාදී
අධිපතිවාදී,අධිපතිවාදී
අධිරාජ්‍යයවාදී,අධිරාජ්‍යවාදී
අධිරාජ්‍යවාදී,අධිරාජ්‍යවාදී
අනතුරුවවර්ෂයේදී,අනතුරු ව වර්ෂයේ දී
අන්තවාදී,අන්තවාදී
අන්තිමේදී,අන්තිමේ දී
අනාගතයේදී,අනාගතයේ දී
අනාගතේදී,අනාගතේ දී
අනුරාධපුරයේදී,අනුරාධපුරයේ දී
අපහටදී,අපහට දී
අප්‍රමාදී,අප්‍රමාදී
අපායාදී,අපායාදී
අභියසදී,අභියස දී
අභූතවාදී,අභූතවාදී
අයවැයේදී,අයවැයේ දී
අයිතියදී,අයිතිය දී
අරණේදී,අරණේ දී
අල්ලද්දී,අල්ලද්දී
අවධියකදී,අවධියක දී
අවධියේදී,අවධියේ දී
අවධිවලදී,අවධිවල දී
අවශ්‍යතාවන්හිදී,අවශ්‍යතාවන්හි දී
අවසනදී,අවසන දී
අවස්ථාවකදී,අවස්ථාවක දී
අවස්ථාවන්වලදී,අවස්ථාවන්වල දී
අවස්ථාවන්හිදී,අවස්ථාවන්හි දී
අවස්ථාවන්හීදී,අවස්ථාවන්හි දී
අවස්ථාවලදී,අවස්ථාවල දී
අවස්ථාවාදී,අවස්ථාවාදී
අවස්ථාවෙහිදී,අවස්ථාවෙහි දී
අවස්ථාවේදී,අවස්ථාවේ දී
අවසානයේදී,අවසානයේ දී
අවිහිංසාවාදී,අවිහිංසාවාදී
අසංවේදී,අසංවේදී
අසද්දී,අසද්දී
අසමානතාවාදී,අසමානතාවාදී
අසලදී,අසල දී
අසුභවාදී,අසුභවාදී
අහද්දී,අහද්දී
ආත්මභවයන්හිදී,ආත්මභවයන්හි දී
ආත්මභවවලදී,ආත්මභවවල දී
ආත්මභාවයන්හිදී,ආත්මභාවයන්හි දී
ආත්මයකදී,ආත්මයක දී
ආත්මවලදී,ආත්මවල දී
ආදියේදී,ආදියේ දී
ආදී,ආදී
ආනයනයේදී,ආනයනයේ දී
ආපදාවලදී,ආපදාවල දී
ආයතනයේදී,ආයතනයේ දී
ආරක්ෂණවාදී,ආරක්ෂණවාදී
ආරම්භයේදී,ආරම්භයේ දී
ආරම්භවීමේදී,ආරම්භවීමේ දී
ආරාමයකදී,ආරාමයක දී
ආරාමයන්හිදී,ආරාමයන්හි දී
ආසන්නයේදී,ආසන්නයේ දී
ඇතුලතදී,ඇතුළත දී
ඇතුළතදී,ඇතුළත දී
ඇදී,ඇදී
ඇඳීමේදී,ඇඳීමේ දී
ඇසීමේදී,ඇසීමේ දී
ඉංදියාවේදී,ඉන්දියාවේ දී
ඉගෙනීමේදී,ඉගෙනීමේ දී
ඉඩදී,ඉඩ දී
ඉඩමේදී,ඉඩමේ දී
ඉතුරුවෙද්දී,ඉතුරුවෙද්දී
ඉද්දී,ඉද්දී
ඉදිරියේදී,ඉදිරියේ දී
ඉදී,ඉදී
ඉන්දැද්දී,ඉන්දැද්දී
ඉඳිද්දී,ඉඳිද්දී
ඉපදී,ඉපදී
ඉහතදී,ඉහත දී
උඩදී,උඩ දී
උත්සවයකදී,උත්සවයක දී
උත්සවයේදී,උත්සවයේ දී
උත්සවවලදී,උත්සවවල දී
උත්සාහයේදී,උත්සාහයේ දී
උද්ඝෝෂණයේදී,උද්ඝෝෂණයේ දී
උද්‍යානයේදී,උද්‍යානයේ දී
උදාවේදී,උදාවේ දී
උපදී,උපදී
උපයෝගීතාවාදී,උපයෝගීතාවාදී
උයනේදී,උයනේ දී
උරදී,උර දී
උසාවියකදී,උසාවියක දී
උසාවියේදී,උසාවියේ දී
උළෙලෙදී,උළෙලෙ දී
උළෙලේදී,උළෙලේ දී
එංගලන්තයේදී,එංගලන්තයේ දී
එකහමාරේදී,එකහමාරේ දී
එකේදී,එකේ දී
එතනදී,එතන දී
එතැනදී,එතැන දී
එතෙනදී,එතෙන දී
එතෙන්දී,එතෙන් දී
එද්දී,එද්දී
එදිරිවාදී,එදිරිවාදී
එයදී,එය දී
එවීමේදී,එවීමේ දී
එහදී,එහදී
එහාදී,එහා දී
එහිදී,එහි දී
එළඹෙද්දී,එළඹෙද්දී
ඒකෙදී,ඒකෙ දී
ඒමේදී,ඒමේ දී
ඒවාහිදී,ඒවාහි දී
කටයුත්තකදී,කටයුත්තක දී
කටයුත්තෙදී,කටයුත්තෙ දී
කටයුත්තේදී,කටයුත්තේ දී
කටයුතුවලදී,කටයුතුවල දී
