original,first,second,correction
අංකල් ගේ,අංකල්,ගේ,අංකල්ගේ
අදිකාරම් ගේ,අදිකාරම්,ගේ,අදිකාරම්ගේ
අධ්‍යක්ෂකවරුන් ගේ,අධ්‍යක්ෂකවරුන්,ගේ,අධ්‍යක්ෂකවරුන්ගේ
අනුගාමිකයින් ගේ,අනුගාමිකයින්,ගේ,අනුගාමිකයින්ගේ
අනුන් ගේ,අනුන්,ගේ,අනුන්ගේ
අනෙකා ගේ,අනෙකා,ගේ,අනෙකාගේ
අප ගේ,අප,ගේ,අපගේ
අපේ ගේ,අපේ,ගේ,අපේ ගේ
අමරදේව ගේ,අමරදේව,ගේ,අමරදේවගේ
අමරසිංහ ගේ,අමරසිංහ,ගේ,අමරසිංහගේ
අම්මා ගේ,අම්මා,ගේ,අම්මාගේ
අය ගේ,අය,ගේ,අයගේ
අයකු ගේ,අයකු,ගේ,අයකුගේ
අයියා ගේ,අයියා,ගේ,අයියාගේ
අර්ජුන ගේ,අර්ජුන,ගේ,අර්ජුනගේ
ආබාධිතයා ගේ,ආබාධිතයා,ගේ,ආබාධිතයාගේ
ඇන්ටි ගේ,ඇන්ටි,ගේ,ඇන්ටිගේ
ඇනෝ ගේ,ඇනෝ,ගේ,ඇනෝගේ
ඇමතිවරයෙකු ගේ,ඇමතිවරයෙකු,ගේ,ඇමතිවරයෙකුගේ
ඇය ගේ,ඇය,ගේ,ඇයගේ
ඇරිස්ටෝටල් ගේ,ඇරිස්ටෝටල්,ගේ,ඇරිස්ටෝටල්ගේ
ඇසිමොව් ගේ,ඇසිමොව්,ගේ,ඇසිමොව්ගේ
ඉලංගරත්නයන් ගේ,ඉලංගරත්නයන්,ගේ,ඉලංගරත්නයන්ගේ
උගතුන් ගේ,උගතුන්,ගේ,උගතුන්ගේ
උදා ගේ,උදා,ගේ,උදා ගේ
උන් ගේ,උන්,ගේ,උන්ගේ
උන්වහන්සේ ගේ,උන්වහන්සේ,ගේ,උන්වහන්සේගේ
උපදේශකයින් ගේ,උපදේශකයින්,ගේ,උපදේශකයින්ගේ
උඹ ගේ,උඹ,ගේ,උඹගේ
