original,correction
අකමැතිවිය,අකමැති විය
අඩවිය,අඩවිය
අත්විය,අත් විය
අලෙවිය,අලෙවිය
අවිය,අවිය
අස්විය,අස් විය
අසුවිය,අසු විය
ආරම්භවිය,ආරම්භ විය
ඇතිවිය,ඇති විය
ඇතුලත්විය,ඇතුලත් විය
ඇතුල්විය,ඇතුල් විය
ඇන්දවිය,ඇන්දවිය
ඉගැන්විය,ඉගැන්විය
ඉටුවිය,ඉටු විය
ඉඳිවිය,ඉඳි විය
උදවිය,උදවිය
උදාවිය,උදා විය
උසාවිය,උසාවිය
එකඟවිය,එකඟ විය
එක්විය,එක් විය
එල්ලවිය,එල්ල විය
එවිය,එවිය
එළිදැක්විය,එළි දැක්විය
කතාවිය,කතා විය
කවිය,කවිය
කැඳවිය,කැඳවිය
කියවිය,කියවිය
කියැවිය,කියැවිය
කොටුවිය,කොටු විය
ගතවිය,ගතවිය
ගැන්විය,ගැන්විය
ගැලවිය,ගැලවිය
ගැස්විය,ගැස්විය
ගෙවිය,ගෙවිය
ජනිතවිය,ජනිත විය
ජිවත්විය,ජීවත් විය
ජීවත්විය,ජීවත් විය
දැක්විය,දැක්විය
දැනවිය,දැනවිය
දැන්විය,දැන්විය
දැරිවිය,දැරිවිය
දැල්විය,දැල්විය
දිවිය,දිවිය
දිස්විය,දිස් විය
දෙවිය,දෙවිය
දේවිය,දේවිය
නැංවිය,නැංවිය
නැන්විය,නැන්විය
නැවැත්විය,නැවැත්විය
නැවිය,නැවිය
නැහැවිය,නැහැවිය
නිපදවිය,නිපදවිය
නිරාවිය,නිරාවිය
නොලිවිය,නො ලිවිය
නොවැලැක්විය,නො වැළැක්විය
නොවැළක්විය,නො වැළැක්විය
නොවැළැක්විය,නො වැළැක්විය
නොවෑලක්විය,නො වැළැක්විය
නොවිය,නො විය
නොහැකිවිය,නොහැකි විය
පත්විය,පත් විය
පදවිය,පදවිය
පසුවිය,පසු විය
පැටවිය,පැටවිය
පැතිරවිය,පැතිර විය
පැනවිය,පැනවිය
පැරදවිය,පැරද විය
පැවැත්විය,පැවැත්විය
පිටවිය,පිට විය
පිහිටවිය,පිහිට විය
පෘතුවිය,පෘථිවිය
පෘථවිය,පෘථිවිය
පෘථිවිය,පෘථිවිය
පෘථීවිය,පෘථීවිය
පෙන්විය,පෙන්විය
පෙවිය,පෙවිය
බඳුවිය,බඳු විය
බැබලවිය,බැබලවිය
බිලිවිය,බිලි විය
බිහිවිය,බිහි විය
බුද්ධමත්විය,බුද්ධමත් විය
මගහැරවිය,මග හැරවිය
මතුවිය,මතු විය
මහළුවිය,මහළු විය
මැදිවිය,මැදිවිය
මුල්විය,මුල් විය
මෙනවිය,මෙනවිය
මේකවිය,මේක විය
යැවිය,යැවිය
යුතුවිය,යුතු විය
යෙදවිය,යෙදවිය
යොමුවිය,යොමු විය
ලක්විය,ලක් විය
ලියැවිය,ලියැවිය
ලිවිය,ලිවිය
ලෙසදැක්විය,ලෙස දැක්විය
වාඩිවිය,වාඩිවිය
වැඩිවිය,වැඩි විය
වැලැක්විය,වැළැක්විය
වැළැක්විය,වැළැක්විය
විය,විය
විවිය,විවිය
වෙබ්අඩවිය,වෙබ් අඩවිය
සතුටුවිය,සතුටු විය
සතුවිය,සතුවිය
සමත්විය,සමත් විය
සමාදන්විය,සමාදන් විය
සරසවිය,සරසවිය
සවිය,සවිය
සැලකිලිමත්විය,සැලකිලිමත් විය
සැලවිය,සැල විය
සිදුවිය,සිදු විය
සිසුවිය,සිසුවිය
සෙලවිය,සෙලවිය
සෙවිය,සෙවිය
හමුවිය,හමු විය
හසුවිය,හසු විය
හැකිවිය,හැකි විය
හැදින්විය,හැඳින්විය
හැඳින්විය,හැඳින්විය
හිමිවිය,හිමි විය
හේතුවිය,හේතු විය
ළගාවිය,ළඟා විය
ළඟාවිය,ළඟා විය
