original,correction
නා,නා
නාකයත්වයේ,නාකයත්වයේ
නාකයි,නාකයි
නාකි,නාකි
නාකියා,නාකියා
නාකිවුනාම,නාකි වුනා ම
නාකිවෙලා,නාකි වෙලා
නාකෙයි,නාකෙයි
නාග,නාග
නාගදීපය,නාගදීපය
නාගදීපයට,නාගදීපයට
නාගදීපයෙහි,නාගදීපයෙහි
නාගයකු,නාගයකු
නාගයන්,නාගයන්
නාගයන්ගේ,නාගයන්ගේ
නාගයින්,නාගයින්
නාගයෙක්,නාගයෙක්
නාගයෙකි,නාගයෙකි
නාගයෝ,නාගයෝ
නාගර්ජුන,නාගර්ජුන
නාගරාජ,නාගරාජ
නාගරාජයාගේ,නාගරාජයාගේ
නාගරික,නාගරික
නාගසේන,නාගසේන
නාච්චිඅම්මා,නාච්චිඅම්මා
නාටක,නාටක
නාටකය,නාටකය
නාටකයකි,නාටකයකි
නාටකයට,නාටකයට
නාට්‍ය,නාට්‍ය
නාට්‍යකට,නාට්‍යකට
නාට්‍යකරුවන්ගෙන්,නාට්‍යකරුවන්ගෙන්
නාට්‍යකරුවා,නාට්‍යකරුවා
නාට්‍යකරුවාගේ,නාට්‍යකරුවාගේ
නාට්‍යකරුවෙක්,නාට්‍යකරුවෙක්
නාට්‍යක්,නාට්‍යක්
නාට්‍යමය,නාට්‍යමය
නාට්‍යය,නාට්‍යය
නාට්‍යයක,නාට්‍යයක
නාට්‍යයකට,නාට්‍යයකට
නාට්‍යයක්,නාට්‍යයක්
නාට්‍යයකි,නාට්‍යයකි
නාට්‍යයකින්,නාට්‍යයකින්
නාට්‍යයට,නාට්‍යයට
නාට්‍යයන්හි,නාට්‍යයන්හි
නාට්‍යයි,නාට්‍යයි
නාට්‍යයෙන්,නාට්‍යයෙන්
නාට්‍යයේ,නාට්‍යයේ
නාට්‍යයේත්,නාට්‍යයේත්
නාට්‍යයේදිත්,නාට්‍යයේදිත්
නාට්‍යවල,නාට්‍යවල
නාට්‍යවලට,නාට්‍යවලට
නාට්‍යවලටත්,නාට්‍යවලටත්
නාට්‍යවලින්,නාට්‍යවලින්
නාට්‍යානුසාර,නාට්‍යානුසාර
නාට්‍යෝචිත,නාට්‍යෝචිත
නාටිකාංගනාවෝ,නාටිකාංගනාවෝ
නාටිය,නාටිය
නාඩගම,නාඩගම
නාඩගමක්,නාඩගමක්
නාඩන්,නාඩන්
නාඩි,නාඩි
නාඩු,නාඩු
නාතදෙවියන්ගේ,නාතදෙවියන්ගේ
නාතපුත්‍රගේ,නාතපුත්‍රගේ
නාත්තකන්ද,නාත්තකන්ද
නාථ,නාථ
නාථකරණ,නාථකරණ
නාථෝ,නාථෝ
නාද,නාද
නාදය,නාදය
නාදයේ,නාදයේ
නාදිකාව,නාදිකාව
නාදිකාවෙහි,නාදිකාවෙහි
නාන,නාන
නානයක්කාර,නානයක්කාර
නානව,නානව
නානවා,නානවා
නාන්න,නාන්න
නාන්නෙ,නාන්නෙ
නානා,නානා
නානායක්කාර,නානායක්කාර
නානායක්කාරවසම්,නානායක්කාරවසම්
නානුඔය,නානුඔය
නාඳුනන,නාඳුනන
නාභියෙන්,නාභියෙන්
නාම,නාම
නාමපුවරුව,නාමපුවරුව
නාමපුවරුවේ,නාමපුවරුවේ
නාමමාත්‍රික,නාමමාත්‍රික
නාමය,නාමය
නාමයක්,නාමයක්
නාමයකින්,නාමයකින්
නාමයට,නාමයට
නාමයත්,නාමයත්
නාමයන්,නාමයන්
නාමයන්ගෙන්,නාමයන්ගෙන්
නාමයයි,නාමයයි
නාමයෙන්,නාමයෙන්
නාමයෙන්ද,නාමයෙන් ද
නාමයෙනි,නාමයෙනි
නාමයෝජනා,නාමයෝජනා
නාමරූප,නාමරූප
නාමරූපයන්ගෙන්,නාමරූපයන්ගෙන්
නාමරූපවලින්,නාමරූපවලින්
නාමරූපාදී,නාමරූපා දී
නාමල්,නාමල්
නාමලුයි,නාමලුයි
නාමලේඛන,නාමලේඛන
නාම්බා,නාම්බා
නාම්බෙක්,නාම්බෙක්
නාම්බෝ,නාම්බෝ
නාමාවලිය,නාමාවලිය
නාමාවලියක්,නාමාවලියක්
නාමික,නාමික
නාමිකව,නාමිකව
නාමින්,නාමින්
නාය,නාය
නායක,නායක
නායකකම,නායකකම
නායකකමක්,නායකකමක්
නායකගේ,නායකගේ
නායකත්ව,නායකත්ව
නායකත්වය,නායකත්වය
නායකත්වයකට,නායකත්වයකට
නායකත්වයකටය,නායකත්වයකට ය
නායකත්වයක්,නායකත්වයක්
නායකත්වයට,නායකත්වයට
නායකත්වයත්,නායකත්වයත්
නායකත්වයද,නායකත්වය ද
නායකත්වයයි,නායකත්වයයි
නායකත්වයෙන්,නායකත්වයෙන්
නායකත්වයේ,නායකත්වයේ
නායකතුමා,නායකතුමා
නායකයකු,නායකයකු
නායකයකුට,නායකයකුට
නායකයකුටවත්,නායකයකුටවත්
නායකයකුම,නායකයකුම
නායකයකුය,නායකයකුය
නායකයකුව,නායකයකුව
නායකයට,නායකයට
නායකයටන්ට,නායකයන්ට
නායකයන්,නායකයන්
නායකයන්ගේ,නායකයන්ගේ
නායකයන්ට,නායකයන්ට
නායකයන්ද,නායකයන් ද
නායකයනුත්,නායකයනුත්
නායකයා,නායකයා
නායකයාගේ,නායකයාගේ
නායකයාට,නායකයාට
නායකයාටත්,නායකයාටත්
නායකයාණන්,නායකයාණන්
නායකයාත්,නායකයාත්
නායකයාද,නායකයා ද
නායකයානායිකාව,නායිකාව
නායකයාය,නායකයා ය
නායකයායි,නායකයායි
නායකයින්,නායකයින්
නායකයින්ගෙන්,නායකයින්ගෙන්
නායකයින්ට,නායකයින්ට
නායකයෙක්,නායකයෙක්
නායකයෙකු,නායකයෙකු
නායකයෙකුට,නායකයෙකුට
නායකයො,නායකයො
නායකයෝ,නායකයෝ
නායකවරයා,නායකවරයා
නායකවරයාට,නායකවරයාට
නායකවරුන්,නායකවරුන්
නායක්කර්වරුන්,නායක්කර්වරුන්
නායක්වය,නායකත්වය
