original,first,second,correction
අභී ට,අභී,ට,අභීට
අයිතීන් ට,අයිතීන්,ට,අයිතීන්ට
අයියා ට,අයියා,ට,අයියාට
අරවින්ද ට,අරවින්ද,ට,අරවින්දට
අහස ට,අහස,ට,අහසට
ඇනෝ ට,ඇනෝ,ට,ඇනෝට
උදේ ට,උදේ,ට,උදේට
උන් ට,උන්,ට,උන්ට
උඹ ට,උඹ,ට,උඹට
එල්ටීටීය ට,එල්ටීටීය,ට,එල්ටීටීයට
ඒක ට,ඒක,ට,ඒකට
ඔබ ට,ඔබ,ට,ඔබට
ඔයා ට,ඔයා,ට,ඔයාට
කරන්නා ට,කරන්නා,ට,කරන්නාට
කාරියවසම් ට,කාරියවසම්,ට,කාරියවසම්ට
කේන්ද්‍රය ට,කේන්ද්‍රය,ට,කේන්ද්‍රයට
ඝාතනය ට,ඝාතනය,ට,ඝාතනයට
චේ ට,චේ,ට,චේට
තමන් ට,තමන්,ට,තමන්ට
තමා ට,තමා,ට,තමාට
තරුෂි ට,තරුෂි,ට,තරුෂිට
තාත්තා ට,තාත්තා,ට,තාත්තාට
තාත්ති ට,තාත්ති,ට,තාත්තිට
දකිනවා ට,දකිනවා,ට,දකිනවාට
දේශපාලනය ට,දේශපාලනය,ට,දේශපාලනයට
ධනා ට,ධනා,ට,ධනාට
නෙවිල් ට,නෙවිල්,ට,නෙවිල්ට
පස්වරු ට,පස්වරු,ට,පස්වරු ට
පාන්දර ට,පාන්දර,ට,පාන්දරට
පෙඳී ට,පෙඳී,ට,පෙඳීට
පෝල් ට,පෝල්,ට,පෝල්ට
බලවේගයන් ට,බලවේගයන්,ට,බලවේගයන්ට
බව ට,බව,ට,බවට
බ්‍රොඩි ට,බ්‍රොඩි,ට,බ්‍රොඩිට
භක්ෂකයින් ට,භක්ෂකයින්,ට,භක්ෂකයින්ට
මාමා ට,මාමා,ට,මාමාට
මාලිනිය ට,මාලිනිය,ට,මාලිනියට
මැක්ස් ට,මැක්ස්,ට,මැක්ස්ට
මොරියාටි ට,මොරියාටි,ට,මොරියාටිට
රට ට,රට,ට,රටට
රම්බෝ ට,රම්බෝ,ට,රම්බෝට
රෑ ට,රෑ,ට,රෑට
රෝගියා ට,රෝගියා,ට,රෝගියාට
වගාව ට,වගාව,ට,වගාවට
වහන්සේ ට,වහන්සේ,ට,වහන්සේට
විද්වතුන් ට,විද්වතුන්,ට,විද්වතුන්ට
සයුරි ට,සයුරි,ට,සයුරිට
සවස ට,සවස,ට,සවසට
සිකුරාද ට,සිකුරාද,ට,සිකුරාදාට
සොම්බි ට,සොම්බි,ට,සොම්බිට
හඳ ට,හඳ,ට,හඳට
හවස ට,හවස,ට,හවසට
හාමුදුරුවන් ට,හාමුදුරුවන්,ට,හාමුදුරුවන්ට
