original,correction
අග්ගමහා,අග්ග මහා
අටමහා,අට මහා
අදහා,අදහා
අසූමහා,අසූ මහා
අහා,අහා
ආසනමහා,ආසන මහා
ඉන්හා,ඉන්හා
ඉල්මහා,ඉල් මහා
ඉස්සරහා,ඉස්සරහා
උකහා,උකහා
උත්සහා,උත්සාහ
උළෙලසඳහා,උළෙල සඳහා
එහා,එහා
එහාමෙහා,එහා මෙහා
කෑගගහා,කෑ ගගහා
ගගහා,ගගහා
ගහා,ගහා
ගුහා,ගුහා
තණ්හා,තණ්හා
තන්හා,තණ්හා
තරහා,තරහා
දිහා,දිහා
දේවහරහා,දේවහරහා
නොඅදහා,නො අදහා
නොවළහා,නොවළහා
පනහා,පනහා
පල්ලෙහා,පල්ලෙහා
බහා,බහා
මරහා,මරහා
මහා,මහා
මාහා,මාහා
මිනිහා,මිනිහා
මෙහා,මෙහා
රජමහා,රජමහා
රාජමහා,රාජමහා
ලිහා,ලිහා
වටහා,වටහා
වලහා,වලහා
වහා,වහා
විදහා,විදහා
සදහා,සඳහා
සඳහා,සඳහා
සහා,සහ
සිංහා,සිංහා
හරහා,හරහා
හා,හා
හිනහා,හිනහා
