original,correction
අංගම්පොරද,අංගම්පොර ද
අංගම්මනද,අංගම්මන ද
අංගවලටද,අංගවලට ද
අංශයටද,අංශයට ද
අගමකටද,ආගමකට ද
අගයක්ද,අගයක් ද
අගයෙන්ද,අගයෙන් ද
අගලක්ද,අගලක් ද
අඥානයෝද,අඥානයෝ ද
අටකින්ද,අටකින් ද
අඩනවද,අඬනව ද
අඩවිද,අඩවි ද
අඩවියක්ද,අඩවියක් ද
අඩුද,අඩු ද
අඩුවක්ද,අඩුවක් ද
අඩුවෙනවාද,අඩු වෙනවා ද
අඬනවද,අඬනව ද
අතද,අත ද
අතරද,අතර ද
අතරින්ද,අතරින් ද
අතරින්නද,අත අරින්න ද
අතරෙද,අතරෙ ද
අතහරින්නද,අතහරින්න ද
අත්දැකීම්ද,අත්දැකීම් ද
අත්විඳිනවාද,අත්විඳිනවා ද
අතින්ද,අතින් ද
අතේද,අතේ ද
අද,අද
අදද,අද ද
අදහස්ද,අදහස් ද
අදාලද,අදාළ ද
අදින්නේද,අදින්නේ ද
අධිකාරියටද,අධිකාරියට ද
අධීක්ෂණයක්ද,අධීක්ෂණයක් ද
අනතුරුදායකද,අනතුරුදායක ද
අනද,අනඳ
අන්ද,අන්ද
අන්දමන්ද,අන්ද මන්ද
අනුගාමිකයන්ටද,අනුගාමිකයන්ට ද
අනුන්ද,අනුන් ද
අනුවද,අනුව ද
අනේද,අනේ ද
අඳුරනවද,අඳුරනව ද
අපටද,අපට ද
අපද,අප ද
අපරාද,අපරාද
අපහසුතාද,අපහසුතා ද
අපහසුද,අපහසු ද
අප්‍රමාද,අප්‍රමාද
අප්‍රසාදයක්ද,අප්‍රසාදයක් ද
අපිද,අපි ද
අබුද්ධෝත්පාද,අබුද්ධෝත්පාද
අභිදහම්පද,අභිදහම්පද
අමතකද,අමතක ද
අමතකවීද,අමතක වී ද
අමනුෂ්‍යයන්ටද,අමනුෂ්‍යයන්ට ද
අම්මද,අම්මා ද
අම්මාද,අම්මා ද
අම්මිද,අම්මි ද
අමාරුද,අමාරු ද
අමාරුවක්ද,අමාරුවක් ද
අමුවෙන්ද,අමුවෙන් ද
අයටද,අයට ද
අයත්ද,අයත් ද
අයද,අය ද
අයැද,අයැද
අයිතිද,අයිති ද
අයියද,අයිය ද
අයුරින්ද,අයුරින් ද
අයුරුද,අයුරු ද
අරවින්ද,අරවින්ද
අර්ථද,අර්ථ ද
අර්බුද,අර්බුද
අල්පද,අල්ප ද
අල්ලන්නද,අල්ලන්න ද
අලින්ද,අලින් ද
අලියෙක්ද,අලියෙක් ද
අවධානයක්ද,අවධානයක් ද
අවධානයටද,අවධානයට ද
අවධියෙද,අවධියේ ද
අවන්ද,අවන්ද
අවබෝද,අවබෝධ
අවයවද,අවයව ද
අවලාද,අවලාද
අවවාද,අවවාද
අවවාදයක්ද,අවවාදයක් ද
අවශ්‍යතාවලටද,අවශ්‍යතාවලට ද
අවශ්‍යද,අවශ්‍ය ද
අවසරයද,අවසරය ද
අවස්ථාද,අවස්ථා ද
අවස්ථාවක්ද,අවස්ථාවක් ද
අවස්ථාවද,අවස්ථාව ද
අවස්ථාවන්ද,අවස්ථාවන් ද
අව්‍යාපාද,අව්‍යාපාද
අවාසනාවක්ද,අවාසනාවක් ද
අවාසනාවටද,අවාසනාවට ද
අවිද,ඇවිද
අවුරැද්ද,අවුරුද්ද
අවුරුද,අවුරුදු
අවුරුද්ද,අවුරුද්ද
අවුල්ද,අවුල් ද
අවුසද,ඖෂධ
අසත්‍යද,අසත්‍ය ද
අසලද,අසල ද
අසලදීද,අසල දී ද
අස්නද,අස්න ද
අස්වැද්ද,අස්වැද්ද
අස්සෙද,අස්සෙ ද
අසුභවාදීද,අසුභවාදී ද
අහිංසකයාද,අහිංසකයා ද
ආකර්ෂණයද,ආකර්ෂණය ද
ආකාරයද,ආකාරය ද
ආකාරයෙන්ද,ආකාරයෙන් ද
ආගමිකයින්ගේද,ආගමිකයින්ගේ ද
ආගමිකයෝද,ආගමිකයෝ ද
ආචාර්යවරුන්ටද,ආචාර්යවරුන්ට ද
ආඩම්බරයක්ද,ආඩම්බරයක් ද
ආත්මයේද,ආත්මයේ ද
ආදරයද,ආදරය ද
ආදරේද,ආදරේ ද
ආදායමක්ද,ආදායමක් ද
ආදියද,ආදිය ද
ආනන්ද,ආනන්ද
ආයතනද,ආයතන ද
ආයුද,ආයුධ
ආයුර්වේද,ආයුර්වේද
ආයෝජනයද,ආයෝජනය ද
ආරක්ශාවීමද,ආරක්ෂා වීම ද
ආරක්ෂකයාටද,ආරක්ෂකයාට ද
