original,first,second,correction
අවස්ථාවන් හි,අවස්ථාවන්,හි,අවස්ථාවන්හි
කියොතෝ හි,කියොතෝ,හි,කියොතෝහි
කිරීමේකාර්යන් හි,කිරීමේකාර්යන්,හි,කිරීමේ කාර්යයන්හි
කේප් හි,කේප්,හි,කේප්හි
කෞතුකාගාරයන් හි,කෞතුකාගාරයන්,හි,කෞතුකාගාරයන්හි
චිලී හි,චිලී,හි,චිලීහි
දහම් හි,දහම්,හි,දහම්හි
දේශාන්තරයන් හි,දේශාන්තරයන්,හි,දේශාන්තරයන්හි
ධ්‍රැවයන් හි,ධ්‍රැවයන්,හි,ධ්‍රැවයන්හි
නිමේෂයන් හි,නිමේෂයන්,හි,නිමේෂයන්හි
පටාචාරාවත හි,පටාචාරාවත,හි,පටාචාරාවතහි
ප්‍රදේශයන් හි,ප්‍රදේශයන්,හි,ප්‍රදේශයන්හි
පාලම්පූර් හි,පාලම්පූර්,හි,පාලම්පූර්හි
පොත් හි,පොත්,හි,පොත්හි
බොක්ස් හි,බොක්ස්,හි,බොක්ස්හි
භෝගයන් හි,භෝගයන්,හි,භෝගයන්හි
මේට්‍රික්ස් හි,මේට්‍රික්ස්,හි,මේට්‍රික්ස්හි
යාල හි,යාල,හි,යාලහි
යෝර්ක් හි,යෝර්ක්,හි,යෝර්ක්හි
සිත් හි,සිත්,හි,සිත්හි
සූත්‍රයන් හි,සූත්‍රයන්,හි,සුත්‍රයන්හි
හැටන් හි,හැටන්,හි,හැටන්හි
